Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463884,1780399998.068681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,283.305,-18.292,-1833.740,Off Angle,332.597,68.010,-1807.776,Off Angle,356.047,104.375,-1823.435,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463884,1780399998.068681960,1,OK,0.7023178,0.0731850,0.0211756,-0.7077748,260.176,-34.916,-1791.589,0.1901473,3,OK,260.143,-35.029,-1791.606,OK,170.508,0.173,-1793.575,OK,260.575,54.219,-1779.585,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463884,1780399998.068681960,1,OK,0.9092047,0.0631969,0.3900316,-0.1312566,48.667,-86.506,-1762.958,0.4806095,3,OK,49.029,-86.386,-1763.285,OK,33.236,1.262,-1719.686,OK,-13.322,-68.681,-1694.897,Passive Strays,790463884,1780399998.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,356.047,104.375,-1823.435,OK,332.597,68.010,-1807.776,OK,283.305,-18.292,-1833.740
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463887,1780399998.118681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,283.013,-18.051,-1833.900,Off Angle,332.095,68.447,-1808.244,Off Angle,355.563,104.781,-1824.138,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463887,1780399998.118681960,1,OK,0.7023117,0.0731648,0.0203025,-0.7078085,260.159,-34.922,-1791.496,0.1899183,3,OK,260.116,-35.019,-1791.513,OK,170.501,0.172,-1793.635,OK,260.569,54.223,-1779.605,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463887,1780399998.118681960,1,OK,0.9091605,0.0628688,0.3901716,-0.1313039,48.644,-86.528,-1762.957,0.4892740,3,OK,49.007,-86.386,-1763.278,OK,33.228,1.253,-1719.748,OK,-13.335,-68.686,-1694.874,Passive Strays,790463887,1780399998.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,355.563,104.781,-1824.138,OK,332.095,68.447,-1808.244,OK,283.013,-18.051,-1833.900
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463890,1780399998.168681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,282.814,-17.803,-1834.253,Off Angle,331.753,68.860,-1808.929,Off Angle,355.180,105.190,-1825.008,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463890,1780399998.168681960,1,OK,0.7023260,0.0726623,0.0204194,-0.7078428,260.140,-34.936,-1791.437,0.1773643,3,OK,260.108,-35.027,-1791.452,OK,170.479,0.166,-1793.515,OK,260.551,54.199,-1779.598,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463890,1780399998.168681960,1,OK,0.9092412,0.0628940,0.3899640,-0.1313497,48.650,-86.532,-1762.882,0.4714548,3,OK,48.998,-86.387,-1763.186,OK,33.224,1.255,-1719.683,OK,-13.341,-68.685,-1694.844,Passive Strays,790463890,1780399998.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,355.180,105.190,-1825.008,OK,331.753,68.860,-1808.929,OK,282.814,-17.803,-1834.253
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463893,1780399998.218681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,282.831,-17.378,-1834.473,Off Angle,331.692,69.409,-1809.443,Off Angle,355.041,105.729,-1825.583,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463893,1780399998.218681960,1,OK,0.7023134,0.0724301,0.0203332,-0.7078816,260.184,-34.893,-1791.524,0.1883535,3,OK,260.144,-34.983,-1791.539,OK,170.520,0.204,-1793.600,OK,260.616,54.257,-1779.722,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463893,1780399998.218681960,1,OK,0.9092454,0.0628778,0.3899538,-0.1313592,48.678,-86.519,-1762.932,0.4652953,3,OK,49.020,-86.375,-1763.231,OK,33.250,1.271,-1719.736,OK,-13.308,-68.670,-1694.902,Passive Strays,790463893,1780399998.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,355.041,105.729,-1825.583,OK,331.692,69.409,-1809.443,OK,282.831,-17.378,-1834.473
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463896,1780399998.268681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,282.391,-16.449,-1834.437,Off Angle,331.094,70.533,-1809.732,Off Angle,354.416,106.819,-1826.015,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463896,1780399998.268681960,1,OK,0.7023303,0.0726181,0.0214991,-0.7078111,260.164,-34.912,-1791.609,0.1827312,3,OK,260.136,-35.013,-1791.624,OK,170.488,0.175,-1793.494,OK,260.575,54.213,-1779.638,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463896,1780399998.268681960,1,OK,0.9093013,0.0627788,0.3898362,-0.1313688,48.668,-86.532,-1762.876,0.4653494,3,OK,49.006,-86.376,-1763.166,OK,33.229,1.258,-1719.710,OK,-13.335,-68.675,-1694.866,Passive Strays,790463896,1780399998.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,354.416,106.819,-1826.015,OK,331.094,70.533,-1809.732,OK,282.391,-16.449,-1834.437
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463899,1780399998.318681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,282.098,-15.112,-1833.910,Off Angle,330.928,71.923,-1809.620,Off Angle,354.187,108.169,-1826.001,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463899,1780399998.318681960,1,OK,0.7023372,0.0733618,0.0210815,-0.7077401,260.166,-34.897,-1791.682,0.1913446,3,OK,260.126,-35.000,-1791.699,OK,170.495,0.181,-1793.700,OK,260.563,54.235,-1779.668,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463899,1780399998.318681960,1,OK,0.9091159,0.0628838,0.3903025,-0.1312167,48.631,-86.509,-1762.942,0.5032126,3,OK,49.007,-86.370,-1763.277,OK,33.212,1.261,-1719.717,OK,-13.345,-68.681,-1694.827,Passive Strays,790463899,1780399998.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,354.187,108.169,-1826.001,OK,330.928,71.923,-1809.620,OK,282.098,-15.112,-1833.910
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463902,1780399998.368681960,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Off Angle,281.407,-11.698,-1830.355,Off Angle,332.422,74.670,-1808.261,Off Angle,355.597,110.475,-1825.739,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463902,1780399998.368681960,1,OK,0.7022898,0.0725490,0.0209103,-0.7078760,260.215,-34.818,-1791.824,0.1843875,3,OK,260.171,-34.902,-1791.838,OK,170.553,0.276,-1793.807,OK,260.648,54.316,-1779.935,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463902,1780399998.368681960,1,OK,0.9091983,0.0625012,0.3901344,-0.1313287,48.674,-86.552,-1762.897,0.4873349,3,OK,49.031,-86.396,-1763.207,OK,33.245,1.251,-1719.760,OK,-13.312,-68.689,-1694.828,Passive Strays,790463902,1780399998.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,355.597,110.475,-1825.739,OK,332.422,74.670,-1808.261,OK,281.407,-11.698,-1830.355
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463905,1780399998.418681960,1,OK,0.2855370,0.4077109,-0.5989082,-0.6273351,218.772,-110.486,-1841.806,0.5346697,3,OK,281.170,-7.345,-1823.202,OK,332.851,79.479,-1804.873,OK,355.462,114.880,-1823.748,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463905,1780399998.418681960,1,OK,0.7021731,0.0713824,0.0191182,-0.7081610,260.274,-34.638,-1792.120,0.1809104,3,OK,260.236,-34.724,-1792.134,OK,170.638,0.522,-1794.323,OK,260.763,54.540,-1780.604,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463905,1780399998.418681960,1,OK,0.9091066,0.0629651,0.3902587,-0.1313725,48.637,-86.513,-1762.953,0.4857000,3,OK,49.002,-86.386,-1763.281,OK,33.242,1.277,-1719.720,OK,-13.324,-68.667,-1694.857,Passive Strays,790463905,1780399998.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463908,1780399998.468681960,1,OK,0.2933178,0.4140536,-0.5995481,-0.6189235,222.650,-110.860,-1837.028,0.5410312,3,OK,282.703,-6.129,-1819.481,OK,332.380,82.026,-1802.038,OK,354.312,117.612,-1821.272,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463908,1780399998.468681960,1,OK,0.7020961,0.0712489,0.0178125,-0.7082849,260.341,-34.471,-1792.375,0.1806324,3,OK,260.305,-34.561,-1792.389,OK,170.727,0.727,-1794.794,OK,260.851,54.731,-1781.038,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463908,1780399998.468681960,1,OK,0.9090572,0.0633101,0.3903552,-0.1312615,48.635,-86.481,-1762.990,0.4919723,3,OK,49.011,-86.371,-1763.334,OK,33.241,1.282,-1719.678,OK,-13.317,-68.667,-1694.870,Passive Strays,790463908,1780399998.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790463911,1780399998.518681960,1,OK,0.2929393,0.4181636,-0.5990309,-0.6168369,224.003,-112.476,-1838.118,0.5499534,3,OK,283.279,-7.417,-1820.071,OK,332.310,81.055,-1802.188,OK,354.160,116.793,-1821.261,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790463911,1780399998.518681960,1,OK,0.7020757,0.0705250,0.0182301,-0.7083668,260.338,-34.495,-1792.366,0.1848418,3,OK,260.301,-34.582,-1792.380,OK,170.717,0.704,-1794.656,OK,260.877,54.714,-1781.068,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790463911,1780399998.518681960,1,OK,0.9092832,0.0629452,0.3898604,-0.1313424,48.678,-86.507,-1762.921,0.4585533,3,OK,49.013,-86.358,-1763.212,OK,33.245,1.278,-1719.721,OK,-13.317,-68.666,-1694.911,Passive Strays,790463911,1780399998.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
