Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274870,1781280181.168635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274870,1781280181.168635124,1,OK,0.9305523,0.3461441,0.0965864,-0.0701981,106.707,229.540,-1705.165,0.4293700,3,OK,106.763,229.306,-1705.382,OK,55.620,164.717,-1753.618,OK,19.434,235.045,-1684.850,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274870,1781280181.168635124,1,OK,0.9230540,0.0537543,0.1543297,-0.3482299,28.283,-464.278,-1628.793,0.7669097,3,OK,28.745,-465.191,-1629.114,OK,39.753,-366.913,-1610.529,OK,-38.184,-405.362,-1598.550,Passive Strays,843274870,1781280181.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.856,16.007,-1676.625,OK,136.014,-53.071,-1674.672,OK,124.962,-131.204,-1678.163,OK,118.053,-199.802,-1680.966
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274873,1781280181.218635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274873,1781280181.218635124,1,OK,0.9304380,0.3462180,0.0974731,-0.0701236,106.716,229.554,-1705.220,0.4202725,3,OK,106.770,229.305,-1705.451,OK,55.623,164.698,-1753.631,OK,19.447,235.018,-1684.733,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274873,1781280181.218635124,1,OK,0.9230470,0.0538050,0.1543590,-0.3482277,28.293,-464.281,-1628.784,0.7721809,3,OK,28.757,-465.202,-1629.106,OK,39.762,-366.916,-1610.507,OK,-38.172,-405.365,-1598.531,Passive Strays,843274873,1781280181.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.879,15.992,-1676.687,OK,136.026,-53.085,-1674.698,OK,124.968,-131.209,-1678.147,OK,118.076,-199.803,-1680.934
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274876,1781280181.268635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274876,1781280181.268635125,1,OK,0.9304404,0.3462201,0.0974139,-0.0701630,106.717,229.538,-1705.199,0.4286904,3,OK,106.776,229.283,-1705.436,OK,55.623,164.694,-1753.606,OK,19.439,235.010,-1684.719,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274876,1781280181.268635125,1,OK,0.9230750,0.0536577,0.1541501,-0.3482687,28.290,-464.268,-1628.701,0.7533218,3,OK,28.743,-465.167,-1629.015,OK,39.762,-366.904,-1610.466,OK,-38.176,-405.351,-1598.498,Passive Strays,843274876,1781280181.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.862,16.008,-1676.679,OK,136.028,-53.067,-1674.725,OK,124.962,-131.201,-1678.168,OK,118.061,-199.805,-1680.990
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274879,1781280181.318635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274879,1781280181.318635125,1,OK,0.9304819,0.3460718,0.0976061,-0.0700767,106.689,229.562,-1705.251,0.4248987,3,OK,106.739,229.308,-1705.486,OK,55.604,164.686,-1753.629,OK,19.423,235.013,-1684.745,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274879,1781280181.318635125,1,OK,0.9230868,0.0534569,0.1542213,-0.3482369,28.288,-464.281,-1628.705,0.7561960,3,OK,28.746,-465.181,-1629.021,OK,39.752,-366.912,-1610.505,OK,-38.184,-405.360,-1598.501,Passive Strays,843274879,1781280181.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.857,15.999,-1676.681,OK,136.022,-53.081,-1674.753,OK,124.958,-131.208,-1678.184,OK,118.057,-199.801,-1680.941
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274882,1781280181.368635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274882,1781280181.368635125,1,OK,0.9304491,0.3461814,0.0974848,-0.0701395,106.699,229.536,-1705.220,0.4255948,3,OK,106.758,229.284,-1705.454,OK,55.604,164.681,-1753.620,OK,19.426,235.000,-1684.731,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274882,1781280181.368635125,1,OK,0.9231537,0.0534827,0.1537134,-0.3482801,28.296,-464.301,-1628.672,0.7312884,3,OK,28.736,-465.173,-1628.976,OK,39.755,-366.934,-1610.494,OK,-38.183,-405.382,-1598.560,Passive Strays,843274882,1781280181.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.864,15.993,-1676.741,OK,136.032,-53.085,-1674.786,OK,124.964,-131.223,-1678.179,OK,118.063,-199.822,-1681.033
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274885,1781280181.418635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274885,1781280181.418635124,1,OK,0.9304383,0.3462406,0.0973518,-0.0701752,106.702,229.531,-1705.163,0.4249906,3,OK,106.751,229.277,-1705.397,OK,55.610,164.690,-1753.580,OK,19.431,235.010,-1684.693,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274885,1781280181.418635124,1,OK,0.9230928,0.0536488,0.1540704,-0.3482581,28.282,-464.298,-1628.734,0.7573017,3,OK,28.737,-465.201,-1629.050,OK,39.749,-366.929,-1610.504,OK,-38.193,-405.378,-1598.544,Passive Strays,843274885,1781280181.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.852,16.004,-1676.594,OK,136.028,-53.091,-1674.760,OK,124.955,-131.220,-1678.212,OK,118.066,-199.818,-1681.048
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274888,1781280181.468635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274888,1781280181.468635124,1,OK,0.9305078,0.3461395,0.0970973,-0.0701051,106.694,229.535,-1705.179,0.4331756,3,OK,106.741,229.282,-1705.412,OK,55.621,164.693,-1753.595,OK,19.421,235.009,-1684.767,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274888,1781280181.468635124,1,OK,0.9231182,0.0536801,0.1540116,-0.3482121,28.295,-464.292,-1628.720,0.7588957,3,OK,28.748,-465.199,-1629.036,OK,39.746,-366.919,-1610.483,OK,-38.181,-405.376,-1598.539,Passive Strays,843274888,1781280181.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.855,15.987,-1676.587,OK,136.027,-53.086,-1674.791,OK,124.948,-131.211,-1678.135,OK,118.060,-199.819,-1680.978
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274891,1781280181.518635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274891,1781280181.518635125,1,OK,0.9304885,0.3462642,0.0967659,-0.0702048,106.703,229.504,-1705.070,0.4189012,3,OK,106.748,229.270,-1705.285,OK,55.611,164.680,-1753.535,OK,19.440,235.006,-1684.716,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274891,1781280181.518635125,1,OK,0.9230638,0.0534994,0.1543046,-0.3482543,28.285,-464.303,-1628.766,0.7641734,3,OK,28.749,-465.210,-1629.085,OK,39.753,-366.936,-1610.553,OK,-38.182,-405.374,-1598.543,Passive Strays,843274891,1781280181.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.859,15.985,-1676.648,OK,136.022,-53.078,-1674.708,OK,124.964,-131.220,-1678.215,OK,118.059,-199.810,-1681.014
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274894,1781280181.568635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274894,1781280181.568635125,1,OK,0.9305585,0.3459860,0.0971650,-0.0700970,106.695,229.543,-1705.196,0.4411174,3,OK,106.746,229.284,-1705.435,OK,55.625,164.689,-1753.580,OK,19.417,235.014,-1684.774,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274894,1781280181.568635125,1,OK,0.9230588,0.0537033,0.1542164,-0.3482753,28.280,-464.295,-1628.784,0.7700042,3,OK,28.742,-465.214,-1629.105,OK,39.750,-366.926,-1610.534,OK,-38.184,-405.366,-1598.563,Passive Strays,843274894,1781280181.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.856,15.988,-1676.664,OK,136.019,-53.076,-1674.707,OK,124.958,-131.205,-1678.145,OK,118.058,-199.817,-1680.976
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274897,1781280181.618635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274897,1781280181.618635125,1,OK,0.9305615,0.3459078,0.0973534,-0.0701812,106.720,229.551,-1705.232,0.4456717,3,OK,106.772,229.290,-1705.472,OK,55.627,164.695,-1753.580,OK,19.450,235.021,-1684.778,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274897,1781280181.618635125,1,OK,0.9229875,0.0538859,0.1545790,-0.3482755,28.278,-464.289,-1628.792,0.7864983,3,OK,28.751,-465.226,-1629.121,OK,39.765,-366.925,-1610.489,OK,-38.178,-405.362,-1598.493,Passive Strays,843274897,1781280181.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.866,15.989,-1676.593,OK,136.027,-53.087,-1674.680,OK,124.955,-131.209,-1678.107,OK,118.073,-199.821,-1681.037
