Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062641,1781276644.018589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062641,1781276644.018589982,1,OK,0.9062262,0.3998376,0.1286091,-0.0484114,97.901,222.750,-1687.704,0.4462902,3,OK,97.923,222.562,-1687.925,OK,47.719,161.920,-1741.918,OK,11.525,221.165,-1663.566,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062641,1781276644.018589982,1,OK,0.7578499,-0.6281675,-0.0836501,-0.1551506,75.371,-257.704,-1513.972,1.0978899,3,OK,75.846,-257.957,-1512.880,OK,47.990,-236.760,-1608.572,OK,-12.486,-245.601,-1543.706,Passive Strays,843062641,1781276644.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.554,479.861,-2156.681,OK,144.902,17.194,-1676.191,OK,140.995,-52.256,-1667.144,OK,133.191,-130.183,-1670.068,OK,124.830,-197.963,-1677.991
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062644,1781276644.068589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062644,1781276644.068589982,1,OK,0.9062013,0.3997518,0.1291005,-0.0482771,97.889,222.786,-1687.760,0.4455775,3,OK,97.907,222.589,-1687.990,OK,47.717,161.920,-1741.933,OK,11.525,221.154,-1663.541,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062644,1781276644.068589982,1,OK,0.7577178,-0.6282743,-0.0839768,-0.1551870,75.362,-257.685,-1513.958,1.1502408,3,OK,75.851,-257.951,-1512.801,OK,48.003,-236.774,-1608.647,OK,-12.477,-245.620,-1543.743,Passive Strays,843062644,1781276644.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.545,479.853,-2156.623,OK,144.915,17.186,-1676.240,OK,140.997,-52.251,-1667.138,OK,133.195,-130.185,-1670.005,OK,124.833,-197.960,-1677.924
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062647,1781276644.118589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062647,1781276644.118589982,1,OK,0.9062094,0.3998562,0.1287077,-0.0483092,97.893,222.770,-1687.716,0.4449448,3,OK,97.910,222.580,-1687.936,OK,47.724,161.930,-1741.931,OK,11.524,221.162,-1663.568,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062647,1781276644.118589982,1,OK,0.7576732,-0.6283676,-0.0838637,-0.1550883,75.363,-257.620,-1513.978,1.1147459,3,OK,75.843,-257.877,-1512.863,OK,47.986,-236.737,-1608.616,OK,-12.488,-245.559,-1543.739,Passive Strays,843062647,1781276644.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.553,479.877,-2156.701,OK,144.899,17.219,-1676.238,OK,140.993,-52.234,-1667.178,OK,133.186,-130.172,-1670.033,OK,124.816,-197.937,-1677.990
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062650,1781276644.168589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062650,1781276644.168589982,1,OK,0.9062206,0.3998804,0.1285252,-0.0483849,97.900,222.752,-1687.699,0.4420173,3,OK,97.921,222.570,-1687.913,OK,47.721,161.922,-1741.930,OK,11.528,221.166,-1663.579,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062650,1781276644.168589982,1,OK,0.7575458,-0.6285574,-0.0837661,-0.1549939,75.382,-257.533,-1513.965,1.1168023,3,OK,75.849,-257.788,-1512.854,OK,47.986,-236.687,-1608.616,OK,-12.473,-245.483,-1543.692,Passive Strays,843062650,1781276644.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.553,479.853,-2156.638,OK,144.918,17.228,-1676.195,OK,141.002,-52.221,-1667.165,OK,133.191,-130.162,-1670.026,OK,124.828,-197.927,-1677.869
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062653,1781276644.218589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062653,1781276644.218589982,1,OK,0.9062362,0.3998135,0.1286406,-0.0483402,97.900,222.751,-1687.699,0.4425893,3,OK,97.930,222.567,-1687.917,OK,47.725,161.906,-1741.915,OK,11.519,221.153,-1663.559,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062653,1781276644.218589982,1,OK,0.7574370,-0.6287157,-0.0837495,-0.1548927,75.393,-257.451,-1513.965,1.1088084,3,OK,75.857,-257.702,-1512.869,OK,47.990,-236.646,-1608.610,OK,-12.476,-245.420,-1543.673,Passive Strays,843062653,1781276644.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.561,479.856,-2156.713,OK,144.915,17.224,-1676.242,OK,141.000,-52.207,-1667.130,OK,133.195,-130.165,-1670.055,OK,124.846,-197.949,-1678.002
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062656,1781276644.268589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062656,1781276644.268589982,1,OK,0.9061940,0.3999820,0.1284108,-0.0483477,97.890,222.742,-1687.678,0.4340324,3,OK,97.900,222.564,-1687.883,OK,47.719,161.918,-1741.941,OK,11.526,221.159,-1663.580,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062656,1781276644.268589982,1,OK,0.7573517,-0.6288114,-0.0838091,-0.1548890,75.383,-257.449,-1513.962,1.1350613,3,OK,75.846,-257.705,-1512.838,OK,47.984,-236.663,-1608.652,OK,-12.482,-245.431,-1543.668,Passive Strays,843062656,1781276644.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.545,479.845,-2156.594,OK,144.918,17.229,-1676.267,OK,141.001,-52.203,-1667.140,OK,133.185,-130.166,-1669.990,OK,124.850,-197.934,-1677.970
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062659,1781276644.318589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062659,1781276644.318589982,1,OK,0.9062391,0.3999267,0.1282218,-0.0484609,97.904,222.728,-1687.642,0.4384935,3,OK,97.921,222.557,-1687.842,OK,47.715,161.914,-1741.902,OK,11.535,221.171,-1663.576,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062659,1781276644.318589982,1,OK,0.7574474,-0.6286706,-0.0839526,-0.1549151,75.368,-257.477,-1513.949,1.1259321,3,OK,75.840,-257.734,-1512.828,OK,47.979,-236.672,-1608.622,OK,-12.490,-245.464,-1543.695,Passive Strays,843062659,1781276644.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.549,479.848,-2156.636,OK,144.901,17.236,-1676.211,OK,140.990,-52.206,-1667.113,OK,133.178,-130.153,-1670.051,OK,124.816,-197.925,-1677.879
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062662,1781276644.368589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062662,1781276644.368589982,1,OK,0.9063597,0.3994582,0.1288603,-0.0483758,97.895,222.772,-1687.771,0.4692072,3,OK,97.912,222.569,-1688.007,OK,47.721,161.904,-1741.894,OK,11.529,221.165,-1663.604,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062662,1781276644.368589982,1,OK,0.7574538,-0.6286971,-0.0837321,-0.1548955,75.383,-257.486,-1513.945,1.1041306,3,OK,75.844,-257.737,-1512.852,OK,47.977,-236.677,-1608.583,OK,-12.482,-245.452,-1543.651,Passive Strays,843062662,1781276644.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.556,479.853,-2156.644,OK,144.910,17.224,-1676.235,OK,141.004,-52.228,-1667.178,OK,133.201,-130.176,-1670.054,OK,124.838,-197.945,-1677.853
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062665,1781276644.418589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062665,1781276644.418589982,1,OK,0.9062624,0.3998821,0.1282199,-0.0483999,97.895,222.728,-1687.661,0.4424178,3,OK,97.915,222.557,-1687.862,OK,47.716,161.907,-1741.914,OK,11.524,221.160,-1663.603,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062665,1781276644.418589982,1,OK,0.7575511,-0.6285499,-0.0838131,-0.1549733,75.381,-257.514,-1513.932,1.0948575,3,OK,75.850,-257.765,-1512.844,OK,47.990,-236.678,-1608.551,OK,-12.479,-245.470,-1543.672,Passive Strays,843062665,1781276644.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.555,479.857,-2156.649,OK,144.902,17.213,-1676.186,OK,140.996,-52.224,-1667.154,OK,133.202,-130.174,-1670.020,OK,124.848,-197.949,-1677.922
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062668,1781276644.468589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062668,1781276644.468589982,1,OK,0.9063792,0.3994699,0.1286938,-0.0483573,97.902,222.774,-1687.740,0.4700718,3,OK,97.938,222.584,-1687.967,OK,47.723,161.909,-1741.876,OK,11.524,221.166,-1663.610,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062668,1781276644.468589982,1,OK,0.7575716,-0.6285179,-0.0838139,-0.1550026,75.382,-257.554,-1513.965,1.1092833,3,OK,75.854,-257.808,-1512.860,OK,47.992,-236.705,-1608.602,OK,-12.474,-245.505,-1543.705,Passive Strays,843062668,1781276644.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.553,479.856,-2156.657,OK,144.915,17.221,-1676.212,OK,141.003,-52.233,-1667.183,OK,133.197,-130.180,-1670.058,OK,124.839,-197.926,-1677.890
