Tools,Port 0x01, JJH Probe  s,n,3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823759,1781689329.3188,1,OK,0.7237782,0.0230531,0.3262474,0.6075988,-117.787,93.168,-1600.164,0.2402553,3,OK,-122.418,-16.945,-1547.243,OK,-127.366,-108.402,-1501.85,OK,-108.157,-148.967,-1495.338,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823759,1781689329.3188,1,OK,0.961373,0.1124123,-0.1066249,0.2275008,10.028,38.348,-1632.218,0.3301575,3,OK,10.25,38.051,-1632.265,OK,21.493,-53.836,-1655.992,OK,-68.605,1.207,-1655.252,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823759,1781689329.3188,1,OK,0.6313934,-0.1219855,0.1103696,0.7578129,-224.178,-5.985,-1552.878,0.5093479,3,OK,-224.07,-5.323,-1553.098,OK,-293.295,-74.821,-1532.82,OK,-208.092,-93.097,-1522.512
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823762,1781689329.3688,1,OK,0.7235756,0.0244522,0.3273331,0.6072014,-117.781,93.144,-1599.98,0.265507,3,OK,-122.354,-17.024,-1547.082,OK,-127.282,-108.451,-1501.717,OK,-108.071,-149.022,-1495.317,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823762,1781689329.3688,1,OK,0.9614362,0.1124384,-0.1060043,0.2275107,10.021,38.36,-1632.204,0.3167973,3,OK,10.226,38.067,-1632.253,OK,21.473,-53.841,-1655.973,OK,-68.621,1.211,-1655.129,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823762,1781689329.3688,1,OK,0.6314748,-0.1217294,0.1100642,0.7578307,-224.185,-5.977,-1552.817,0.4962302,3,OK,-224.071,-5.331,-1553.031,OK,-293.31,-74.826,-1532.814,OK,-208.112,-93.095,-1522.528
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823765,1781689329.4188,1,OK,0.7236097,0.0239307,0.3272213,0.6072417,-117.78,93.127,-1600.084,0.2540369,3,OK,-122.361,-16.996,-1547.129,OK,-127.284,-108.415,-1501.712,OK,-108.074,-148.987,-1495.26,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823765,1781689329.4188,1,OK,0.9613687,0.1125132,-0.1066564,0.2274541,10.03,38.339,-1632.185,0.3279068,3,OK,10.249,38.043,-1632.232,OK,21.499,-53.849,-1655.98,OK,-68.613,1.218,-1655.227,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823765,1781689329.4188,1,OK,0.6315085,-0.1217049,0.1098285,0.7578407,-224.171,-5.968,-1552.8,0.4937844,3,OK,-224.058,-5.325,-1553.012,OK,-293.301,-74.824,-1532.844,OK,-208.102,-93.097,-1522.542
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823768,1781689329.4688,1,OK,0.7235902,0.0238962,0.3273534,0.6071951,-117.752,93.066,-1600.047,0.2504378,3,OK,-122.327,-17.039,-1547.067,OK,-127.241,-108.456,-1501.626,OK,-108.034,-149.026,-1495.165,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823768,1781689329.4688,1,OK,0.9614515,0.1124574,-0.1058745,0.227497,10.036,38.36,-1632.271,0.3152757,3,OK,10.236,38.065,-1632.321,OK,21.485,-53.843,-1656.04,OK,-68.61,1.216,-1655.172,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823768,1781689329.4688,1,OK,0.6314694,-0.1219006,0.1098669,0.7578364,-224.175,-5.97,-1552.821,0.5004297,3,OK,-224.066,-5.319,-1553.036,OK,-293.299,-74.825,-1532.859,OK,-208.108,-93.098,-1522.528
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823771,1781689329.5188,1,OK,0.7234366,0.0238472,0.3272709,0.6074246,-117.714,93.088,-1599.986,0.262934,3,OK,-122.238,-17.05,-1547.015,OK,-127.09,-108.44,-1501.619,OK,-107.88,-149.014,-1495.146,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823771,1781689329.5188,1,OK,0.9613354,0.1127669,-0.106754,0.2274237,10.025,38.328,-1632.148,0.3264499,3,OK,10.251,38.041,-1632.191,OK,21.482,-53.844,-1655.993,OK,-68.61,1.208,-1655.218,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823771,1781689329.5188,1,OK,0.6314918,-0.1217887,0.1099197,0.757828,-224.179,-5.977,-1552.83,0.5042408,3,OK,-224.066,-5.32,-1553.047,OK,-293.304,-74.833,-1532.856,OK,-208.116,-93.108,-1522.547
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823774,1781689329.5688,1,OK,0.7235661,0.0234015,0.3265798,0.6076595,-117.734,93.101,-1600.069,0.2445022,3,OK,-122.297,-17.031,-1547.155,OK,-127.185,-108.476,-1501.78,OK,-107.963,-149.048,-1495.29,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823774,1781689329.5688,1,OK,0.9614901,0.1121813,-0.1057866,0.2275112,10.043,38.362,-1632.279,0.3265926,3,OK,10.247,38.053,-1632.332,OK,21.491,-53.844,-1655.992,OK,-68.613,1.208,-1655.156,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823774,1781689329.5688,1,OK,0.631473,-0.1219842,0.1097288,0.7578398,-224.175,-5.969,-1552.815,0.4994236,3,OK,-224.063,-5.319,-1553.03,OK,-293.304,-74.831,-1532.881,OK,-208.112,-93.096,-1522.528
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823777,1781689329.6188,1,OK,0.723746,0.023148,0.3250728,0.6082628,-117.585,93.125,-1599.715,0.2674966,3,OK,-122.204,-17.144,-1547.001,OK,-127.139,-108.619,-1501.836,OK,-107.91,-149.195,-1495.364,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823777,1781689329.6188,1,OK,0.9614488,0.1123355,-0.1060305,0.2274961,10.044,38.355,-1632.265,0.3224063,3,OK,10.256,38.06,-1632.313,OK,21.491,-53.845,-1656.013,OK,-68.603,1.204,-1655.191,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823777,1781689329.6188,1,OK,0.6314965,-0.1218865,0.1097085,0.7578389,-224.168,-5.974,-1552.83,0.498922,3,OK,-224.056,-5.325,-1553.045,OK,-293.298,-74.837,-1532.9,OK,-208.107,-93.106,-1522.559
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823780,1781689329.6688,1,OK,0.7236317,0.0226647,0.3256684,0.6080984,-117.562,93.033,-1599.856,0.2581045,3,OK,-122.14,-17.139,-1546.977,OK,-127.021,-108.576,-1501.667,OK,-107.8,-149.133,-1495.13,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823780,1781689329.6688,1,OK,0.9614547,0.1122115,-0.1061996,0.2274534,10.038,38.353,-1632.226,0.3293471,3,OK,10.241,38.039,-1632.281,OK,21.486,-53.844,-1655.953,OK,-68.604,1.22,-1655.173,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823780,1781689329.6688,1,OK,0.6314807,-0.1221725,0.109585,0.757824,-224.167,-5.965,-1552.798,0.4976173,3,OK,-224.056,-5.319,-1553.012,OK,-293.314,-74.825,-1532.898,OK,-208.1,-93.092,-1522.5
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823783,1781689329.7188,1,OK,0.7236901,0.0241499,0.3271103,0.607197,-117.536,92.986,-1599.754,0.2709438,3,OK,-122.15,-17.183,-1546.833,OK,-127.092,-108.582,-1501.476,OK,-107.905,-149.163,-1495.036,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823783,1781689329.7188,1,OK,0.9615309,0.1119259,-0.1057949,0.2274605,10.046,38.362,-1632.297,0.3348722,3,OK,10.247,38.037,-1632.355,OK,21.481,-53.845,-1655.96,OK,-68.609,1.214,-1655.163,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823783,1781689329.7188,1,OK,0.6314397,-0.121982,0.1097707,0.7578619,-224.192,-5.98,-1552.869,0.4993061,3,OK,-224.082,-5.33,-1553.083,OK,-293.319,-74.844,-1532.927,OK,-208.117,-93.105,-1522.576
3,Port 0x01, JJH Probe  s,n,3E4C880C,867823786,1781689329.7688,1,OK,0.723927,0.0232377,0.3252167,0.6079669,-117.562,92.991,-1599.695,0.2767804,3,OK,-122.243,-17.266,-1546.953,OK,-127.24,-108.739,-1501.755,OK,-108.035,-149.291,-1495.295,Port 0x02, JJH T tibia tracker  s,n,3E4C8800,867823786,1781689329.7688,1,OK,0.9614563,0.1123098,-0.1059635,0.2275082,10.038,38.354,-1632.227,0.3297023,3,OK,10.237,38.035,-1632.283,OK,21.492,-53.837,-1655.965,OK,-68.604,1.211,-1655.137,Port 0x03, JJH Y femur tracker  s,n,3E4C8801,867823786,1781689329.7688,1,OK,0.6314534,-0.122263,0.1094697,0.7578488,-224.177,-5.966,-1552.814,0.4979624,3,OK,-224.069,-5.319,-1553.027,OK,-293.324,-74.832,-1532.937,OK,-208.103,-93.095,-1522.515
