Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347884,1781281398.068646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347884,1781281398.068646299,1,OK,0.9095634,0.3928935,0.1282569,-0.0433514,97.759,222.356,-1687.272,0.4538805,3,OK,97.806,222.121,-1687.546,OK,48.576,160.233,-1740.877,OK,11.208,220.191,-1663.464,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347884,1781281398.068646299,1,OK,0.9199007,0.0818092,0.1584753,-0.3492501,26.225,-466.546,-1636.847,0.7729282,3,OK,26.660,-467.470,-1637.214,OK,38.659,-370.442,-1613.151,OK,-39.845,-408.549,-1604.129,Passive Strays,843347884,1781281398.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.735,496.494,-2020.981,OK,385.312,552.375,-2051.802,Saturated,375.027,480.494,-2072.468,OK,139.706,10.004,-1681.487,OK,131.459,-60.339,-1684.021,OK,119.388,-135.597,-1691.756,OK,105.623,-202.464,-1697.054
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347887,1781281398.118646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347887,1781281398.118646299,1,OK,0.9095616,0.3930719,0.1277052,-0.0433990,97.750,222.312,-1687.162,0.4458027,3,OK,97.796,222.097,-1687.413,OK,48.559,160.224,-1740.832,OK,11.198,220.178,-1663.461,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347887,1781281398.118646299,1,OK,0.9199221,0.0815524,0.1584494,-0.3492654,26.218,-466.555,-1636.808,0.7583069,3,OK,26.653,-467.456,-1637.168,OK,38.655,-370.455,-1613.168,OK,-39.859,-408.553,-1604.111,Passive Strays,843347887,1781281398.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.745,496.528,-2021.107,OK,385.304,552.381,-2051.814,Saturated,375.038,480.511,-2072.563,OK,139.700,10.006,-1681.540,OK,131.441,-60.333,-1683.979,OK,119.372,-135.592,-1691.721,OK,105.612,-202.461,-1697.055
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347890,1781281398.168646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347890,1781281398.168646299,1,OK,0.9096567,0.3928072,0.1278462,-0.0433875,97.743,222.343,-1687.225,0.4671435,3,OK,97.786,222.114,-1687.490,OK,48.559,160.237,-1740.828,OK,11.195,220.196,-1663.509,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347890,1781281398.168646299,1,OK,0.9199421,0.0812010,0.1584498,-0.3492945,26.215,-466.556,-1636.762,0.7455672,3,OK,26.650,-467.437,-1637.116,OK,38.647,-370.458,-1613.193,OK,-39.853,-408.539,-1604.088,Passive Strays,843347890,1781281398.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.719,496.500,-2020.979,OK,385.284,552.360,-2051.760,Saturated,375.015,480.491,-2072.478,OK,139.690,10.010,-1681.486,OK,131.447,-60.339,-1684.007,OK,119.366,-135.592,-1691.705,OK,105.600,-202.461,-1697.060
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347893,1781281398.218646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347893,1781281398.218646299,1,OK,0.9095190,0.3930710,0.1280184,-0.0433788,97.748,222.346,-1687.234,0.4387416,3,OK,97.801,222.125,-1687.494,OK,48.559,160.240,-1740.893,OK,11.190,220.200,-1663.462,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347893,1781281398.218646299,1,OK,0.9198632,0.0818702,0.1587281,-0.3492197,26.213,-466.541,-1636.888,0.7799692,3,OK,26.658,-467.469,-1637.259,OK,38.648,-370.450,-1613.169,OK,-39.854,-408.548,-1604.119,Passive Strays,843347893,1781281398.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.705,496.489,-2020.960,OK,385.299,552.379,-2051.823,Saturated,375.025,480.500,-2072.517,OK,139.705,10.014,-1681.538,OK,131.450,-60.333,-1683.980,OK,119.366,-135.597,-1691.731,OK,105.591,-202.445,-1696.966
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347896,1781281398.268646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347896,1781281398.268646299,1,OK,0.9096089,0.3930845,0.1273173,-0.0434345,97.743,222.308,-1687.125,0.4454987,3,OK,97.788,222.100,-1687.367,OK,48.556,160.234,-1740.823,OK,11.186,220.199,-1663.495,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347896,1781281398.268646299,1,OK,0.9198808,0.0814701,0.1587478,-0.3492579,26.205,-466.556,-1636.862,0.7614741,3,OK,26.647,-467.456,-1637.224,OK,38.649,-370.462,-1613.224,OK,-39.859,-408.554,-1604.117,Passive Strays,843347896,1781281398.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.730,496.514,-2021.014,OK,385.287,552.385,-2051.801,Saturated,375.019,480.506,-2072.511,OK,139.696,10.018,-1681.518,OK,131.450,-60.336,-1684.072,OK,119.363,-135.593,-1691.726,OK,105.591,-202.463,-1697.035
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347899,1781281398.318646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347899,1781281398.318646299,1,OK,0.9096216,0.3927795,0.1281717,-0.0434138,97.746,222.354,-1687.247,0.4657514,3,OK,97.799,222.120,-1687.521,OK,48.551,160.234,-1740.826,OK,11.194,220.196,-1663.463,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347899,1781281398.318646299,1,OK,0.9197903,0.0818970,0.1590022,-0.3492807,26.183,-466.565,-1636.972,0.7906436,3,OK,26.634,-467.505,-1637.348,OK,38.643,-370.475,-1613.235,OK,-39.866,-408.565,-1604.151,Passive Strays,843347899,1781281398.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.706,496.517,-2021.073,OK,385.289,552.383,-2051.817,Saturated,375.022,480.513,-2072.549,OK,139.692,10.011,-1681.447,OK,131.451,-60.332,-1684.030,OK,119.355,-135.595,-1691.650,OK,105.581,-202.459,-1697.041
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347902,1781281398.368646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347902,1781281398.368646299,1,OK,0.9096704,0.3929453,0.1272832,-0.0435053,97.747,222.300,-1687.160,0.4603949,3,OK,97.791,222.088,-1687.407,OK,48.552,160.229,-1740.823,OK,11.193,220.200,-1663.542,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347902,1781281398.368646299,1,OK,0.9197478,0.0822590,0.1592177,-0.3492094,26.185,-466.552,-1637.011,0.8069555,3,OK,26.646,-467.512,-1637.396,OK,38.635,-370.479,-1613.191,OK,-39.858,-408.565,-1604.128,Passive Strays,843347902,1781281398.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.693,496.477,-2020.935,OK,385.286,552.378,-2051.801,Saturated,375.013,480.496,-2072.509,OK,139.695,10.011,-1681.448,OK,131.444,-60.343,-1684.018,OK,119.366,-135.601,-1691.661,OK,105.580,-202.467,-1697.004
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347905,1781281398.418646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347905,1781281398.418646299,1,OK,0.9095713,0.3928969,0.1281857,-0.0433636,97.751,222.356,-1687.257,0.4551906,3,OK,97.807,222.125,-1687.529,OK,48.563,160.236,-1740.865,OK,11.193,220.194,-1663.464,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347905,1781281398.418646299,1,OK,0.9199067,0.0814413,0.1585332,-0.3492939,26.204,-466.581,-1636.861,0.7530844,3,OK,26.643,-467.471,-1637.219,OK,38.647,-370.490,-1613.242,OK,-39.866,-408.572,-1604.155,Passive Strays,843347905,1781281398.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.735,496.525,-2021.082,OK,385.287,552.386,-2051.796,Saturated,375.017,480.506,-2072.541,OK,139.690,10.016,-1681.430,OK,131.451,-60.334,-1684.007,OK,119.354,-135.589,-1691.631,OK,105.578,-202.449,-1696.998
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347908,1781281398.468646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347908,1781281398.468646299,1,OK,0.9096042,0.3930895,0.1273402,-0.0434201,97.751,222.315,-1687.099,0.4443592,3,OK,97.807,222.113,-1687.339,OK,48.559,160.238,-1740.798,OK,11.190,220.199,-1663.469,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347908,1781281398.468646299,1,OK,0.9198531,0.0815241,0.1587421,-0.3493209,26.198,-466.569,-1636.851,0.7632394,3,OK,26.641,-467.471,-1637.214,OK,38.651,-370.480,-1613.205,OK,-39.856,-408.556,-1604.103,Passive Strays,843347908,1781281398.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.688,496.463,-2020.867,OK,385.290,552.380,-2051.807,Saturated,375.016,480.507,-2072.483,OK,139.696,10.025,-1681.412,OK,131.452,-60.327,-1684.098,OK,119.367,-135.585,-1691.667,OK,105.586,-202.462,-1697.115
4,Port 0x01: JJH Probe  s/n:3E4C880C,843347911,1781281398.518646299,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843347911,1781281398.518646299,1,OK,0.9096959,0.3927070,0.1278715,-0.0433994,97.754,222.347,-1687.217,0.4726818,3,OK,97.810,222.120,-1687.485,OK,48.565,160.232,-1740.799,OK,11.198,220.198,-1663.499,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843347911,1781281398.518646299,1,OK,0.9197943,0.0817676,0.1590627,-0.3492730,26.191,-466.559,-1636.924,0.7830153,3,OK,26.647,-467.484,-1637.297,OK,38.646,-370.482,-1613.213,OK,-39.857,-408.554,-1604.101,Passive Strays,843347911,1781281398.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.721,496.521,-2021.049,OK,385.297,552.377,-2051.771,Saturated,375.010,480.497,-2072.468,OK,139.696,10.015,-1681.417,OK,131.450,-60.332,-1683.985,OK,119.364,-135.594,-1691.628,OK,105.586,-202.463,-1697.036
