Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434059,1780482834.318651755,1,OK,0.8208607,0.1557096,0.2900279,0.4667183,216.295,-192.792,-1841.978,0.1928456,3,OK,168.764,-298.449,-1803.120,OK,128.309,-386.088,-1769.333,OK,129.589,-431.482,-1769.474,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434059,1780482834.318651755,1,OK,0.6938634,0.0392708,0.0241161,-0.7186305,259.943,-36.712,-1769.539,0.2185555,3,OK,259.734,-36.704,-1769.543,OK,171.327,0.540,-1768.248,OK,263.173,52.773,-1761.452,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434059,1780482834.318651755,1,OK,0.8581634,0.3833981,-0.3316798,-0.0809315,50.874,-78.436,-1920.865,0.5522701,3,OK,51.412,-78.754,-1920.563,OK,-3.204,0.320,-1893.180,OK,-21.086,-41.551,-1968.476,Passive Strays,795434059,1780482834.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.161,-194.554,-1780.078
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434062,1780482834.368651755,1,OK,0.8216906,0.1550816,0.2900804,0.4654328,216.543,-193.719,-1841.419,0.1741836,3,OK,168.739,-299.171,-1802.380,OK,127.993,-386.623,-1768.393,OK,129.221,-432.064,-1768.487,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434062,1780482834.368651755,1,OK,0.6938631,0.0392744,0.0239366,-0.7186366,259.945,-36.712,-1769.517,0.2235658,3,OK,259.730,-36.698,-1769.521,OK,171.330,0.536,-1768.259,OK,263.181,52.774,-1761.452,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434062,1780482834.368651755,1,OK,0.8582670,0.3833354,-0.3314662,-0.0810055,50.883,-78.434,-1920.969,0.5401354,3,OK,51.415,-78.754,-1920.676,OK,-3.191,0.318,-1893.283,OK,-21.087,-41.549,-1968.522,Passive Strays,795434062,1780482834.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.222,-194.536,-1780.048
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434065,1780482834.418651755,1,OK,0.8235044,0.1493093,0.2860775,0.4665908,216.335,-194.554,-1840.966,0.1814826,3,OK,168.253,-299.895,-1801.972,OK,127.262,-387.272,-1768.041,OK,128.586,-432.674,-1767.855,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434065,1780482834.418651755,1,OK,0.6938320,0.0389629,0.0238605,-0.7186861,259.901,-36.716,-1769.521,0.2272344,3,OK,259.679,-36.705,-1769.525,OK,171.297,0.541,-1768.252,OK,263.147,52.780,-1761.505,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434065,1780482834.418651755,1,OK,0.8582624,0.3834654,-0.3313356,-0.0809739,50.866,-78.419,-1920.926,0.5349207,3,OK,51.397,-78.747,-1920.647,OK,-3.232,0.332,-1893.204,OK,-21.110,-41.548,-1968.454,Passive Strays,795434065,1780482834.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.189,-194.547,-1780.086
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434068,1780482834.468651755,1,OK,0.8245890,0.1451131,0.2823126,0.4682892,215.946,-195.083,-1839.910,0.1938261,3,OK,167.732,-300.479,-1801.154,OK,126.685,-387.860,-1767.488,OK,128.085,-433.270,-1767.115,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434068,1780482834.468651755,1,OK,0.6937900,0.0392207,0.0232738,-0.7187319,259.914,-36.716,-1769.483,0.2260447,3,OK,259.692,-36.706,-1769.488,OK,171.321,0.559,-1768.337,OK,263.164,52.781,-1761.507,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434068,1780482834.468651755,1,OK,0.8580937,0.3836463,-0.3315533,-0.0810131,50.852,-78.434,-1920.900,0.5506473,3,OK,51.380,-78.753,-1920.609,OK,-3.227,0.326,-1893.124,OK,-21.116,-41.557,-1968.503,Passive Strays,795434068,1780482834.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.137,-194.538,-1780.019
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434071,1780482834.518651755,1,OK,0.8259429,0.1416018,0.2800308,0.4683482,215.456,-195.945,-1839.272,0.1862369,3,OK,166.962,-301.190,-1800.478,OK,125.634,-388.441,-1766.761,OK,127.073,-433.857,-1766.222,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434071,1780482834.518651755,1,OK,0.6938626,0.0392039,0.0235038,-0.7186552,259.930,-36.716,-1769.480,0.2212882,3,OK,259.714,-36.711,-1769.485,OK,171.328,0.544,-1768.292,OK,263.157,52.780,-1761.478,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434071,1780482834.518651755,1,OK,0.8580489,0.3836225,-0.3316928,-0.0810293,50.863,-78.444,-1920.922,0.5604429,3,OK,51.395,-78.756,-1920.618,OK,-3.198,0.315,-1893.159,OK,-21.101,-41.554,-1968.561,Passive Strays,795434071,1780482834.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.178,-194.509,-1779.791
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434074,1780482834.568651755,1,OK,0.8266399,0.1383469,0.2795360,0.4683868,214.756,-196.695,-1838.588,0.1808986,3,OK,166.218,-301.789,-1799.472,OK,124.818,-388.922,-1765.470,OK,126.328,-434.332,-1764.712,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434074,1780482834.568651755,1,OK,0.6938182,0.0391182,0.0232010,-0.7187126,259.922,-36.702,-1769.457,0.2274393,3,OK,259.696,-36.685,-1769.461,OK,171.331,0.566,-1768.316,OK,263.166,52.794,-1761.504,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434074,1780482834.568651755,1,OK,0.8581229,0.3836083,-0.3315156,-0.0810377,50.869,-78.427,-1920.952,0.5486946,3,OK,51.400,-78.751,-1920.665,OK,-3.211,0.336,-1893.185,OK,-21.099,-41.544,-1968.537,Passive Strays,795434074,1780482834.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.153,-194.536,-1779.953
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434077,1780482834.618651755,1,OK,0.8276375,0.1354923,0.2787418,0.4679327,214.241,-197.793,-1837.727,0.1863500,3,OK,165.494,-302.694,-1798.349,OK,123.931,-389.673,-1764.150,OK,125.404,-435.059,-1763.167,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434077,1780482834.618651755,1,OK,0.6938516,0.0394370,0.0237401,-0.7186453,259.936,-36.711,-1769.510,0.2222429,3,OK,259.718,-36.695,-1769.514,OK,171.330,0.543,-1768.299,OK,263.167,52.772,-1761.449,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434077,1780482834.618651755,1,OK,0.8581393,0.3833793,-0.3317601,-0.0809476,50.859,-78.445,-1920.888,0.5556542,3,OK,51.397,-78.762,-1920.583,OK,-3.211,0.317,-1893.206,OK,-21.095,-41.556,-1968.520,Passive Strays,795434077,1780482834.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.120,-194.536,-1779.984
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434080,1780482834.668651755,1,OK,0.8285636,0.1318918,0.2770079,0.4683520,214.068,-198.668,-1837.061,0.1919520,3,OK,165.185,-303.471,-1797.556,OK,123.531,-390.344,-1763.284,OK,125.031,-435.730,-1762.073,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434080,1780482834.668651755,1,OK,0.6938513,0.0391548,0.0242404,-0.7186443,259.935,-36.702,-1769.565,0.2204875,3,OK,259.720,-36.693,-1769.569,OK,171.328,0.551,-1768.243,OK,263.167,52.784,-1761.478,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434080,1780482834.668651755,1,OK,0.8579634,0.3837256,-0.3318179,-0.0809344,50.868,-78.433,-1920.914,0.5738824,3,OK,51.409,-78.753,-1920.609,OK,-3.213,0.332,-1893.137,OK,-21.093,-41.552,-1968.594,Passive Strays,795434080,1780482834.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.192,-194.540,-1780.149
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434083,1780482834.718651755,1,OK,0.8279356,0.1329669,0.2806498,0.4669883,213.694,-199.728,-1836.716,0.1735462,3,OK,165.000,-304.359,-1796.614,OK,123.450,-391.128,-1761.787,OK,124.950,-436.519,-1760.523,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434083,1780482834.718651755,1,OK,0.6938121,0.0389431,0.0234286,-0.7187206,259.908,-36.719,-1769.467,0.2188037,3,OK,259.694,-36.701,-1769.470,OK,171.303,0.554,-1768.272,OK,263.155,52.769,-1761.508,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434083,1780482834.718651755,1,OK,0.8580142,0.3836746,-0.3317074,-0.0810904,50.839,-78.443,-1920.912,0.5643949,3,OK,51.374,-78.766,-1920.618,OK,-3.223,0.340,-1893.118,OK,-21.119,-41.551,-1968.556,Passive Strays,795434083,1780482834.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.246,-194.520,-1780.199
4,Port 0x01: JJH Probe  s/n:3E4C880C,795434086,1780482834.768651755,1,OK,0.8280651,0.1301094,0.2803650,0.4677341,213.508,-200.501,-1835.810,0.1850035,3,OK,164.949,-305.112,-1795.443,OK,123.514,-391.827,-1760.409,OK,125.133,-437.203,-1758.958,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,795434086,1780482834.768651755,1,OK,0.6938767,0.0390326,0.0238577,-0.7186392,259.903,-36.699,-1769.462,0.2227773,3,OK,259.690,-36.695,-1769.467,OK,171.290,0.552,-1768.199,OK,263.134,52.798,-1761.438,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,795434086,1780482834.768651755,1,OK,0.8580951,0.3835612,-0.3316362,-0.0810617,50.834,-78.436,-1920.897,0.5474975,3,OK,51.368,-78.762,-1920.610,OK,-3.241,0.337,-1893.152,OK,-21.116,-41.539,-1968.491,Passive Strays,795434086,1780482834.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,OK,345.221,-194.549,-1780.185
