Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995634,1780408860.568672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995634,1780408860.568672122,1,OK,0.6918146,0.0581267,0.0142177,-0.7195913,261.316,-37.194,-1785.995,0.1954734,3,OK,261.227,-37.293,-1786.010,OK,172.830,0.652,-1787.851,OK,264.709,52.211,-1776.691,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995634,1780408860.568672122,1,OK,0.9102950,0.0573741,0.3877070,-0.1332461,48.414,-85.111,-1764.267,0.5004935,3,OK,48.824,-85.137,-1764.684,OK,32.720,3.301,-1722.107,OK,-13.820,-66.436,-1696.632,Passive Strays,790995634,1780408860.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.569,519.906,-2466.954
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995637,1780408860.618672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995637,1780408860.618672122,1,OK,0.6918551,0.0583939,0.0147803,-0.7195195,261.379,-37.134,-1786.207,0.1941801,3,OK,261.296,-37.239,-1786.223,OK,172.884,0.700,-1787.985,OK,264.753,52.262,-1776.800,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995637,1780408860.618672122,1,OK,0.9102557,0.0576228,0.3877647,-0.1332394,48.433,-85.101,-1764.303,0.5036469,3,OK,48.847,-85.138,-1764.727,OK,32.752,3.298,-1722.093,OK,-13.790,-66.438,-1696.655,Passive Strays,790995637,1780408860.618,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995640,1780408860.668672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995640,1780408860.668672121,1,OK,0.6917805,0.0578881,0.0138607,-0.7196504,261.395,-37.115,-1786.241,0.1943735,3,OK,261.300,-37.207,-1786.257,OK,172.923,0.741,-1788.142,OK,264.802,52.294,-1777.013,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995640,1780408860.668672121,1,OK,0.9103583,0.0572371,0.3875610,-0.1332968,48.465,-85.124,-1764.205,0.4878275,3,OK,48.864,-85.144,-1764.608,OK,32.761,3.302,-1722.081,OK,-13.778,-66.432,-1696.603,Passive Strays,790995640,1780408860.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995643,1780408860.718672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995643,1780408860.718672121,1,OK,0.6917727,0.0579227,0.0137946,-0.7196563,261.394,-37.049,-1786.422,0.1950031,3,OK,261.308,-37.159,-1786.438,OK,172.923,0.818,-1788.336,OK,264.794,52.369,-1777.197,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995643,1780408860.718672121,1,OK,0.9104814,0.0573819,0.3872633,-0.1332598,48.467,-85.111,-1764.201,0.4639224,3,OK,48.845,-85.118,-1764.579,OK,32.738,3.296,-1722.073,OK,-13.799,-66.433,-1696.661,Passive Strays,790995643,1780408860.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.595,519.936,-2467.053
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995646,1780408860.768672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995646,1780408860.768672121,1,OK,0.6917135,0.0566789,0.0129071,-0.7198287,261.443,-36.973,-1786.594,0.1987790,3,OK,261.354,-37.072,-1786.609,OK,172.977,0.915,-1788.571,OK,264.896,52.469,-1777.638,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995646,1780408860.768672121,1,OK,0.9102394,0.0575390,0.3878123,-0.1332483,48.430,-85.101,-1764.326,0.5150373,3,OK,48.854,-85.145,-1764.762,OK,32.745,3.300,-1722.122,OK,-13.790,-66.423,-1696.666,Passive Strays,790995646,1780408860.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995649,1780408860.818672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995649,1780408860.818672122,1,OK,0.6915797,0.0559221,0.0117790,-0.7200357,261.501,-36.865,-1786.850,0.1990004,3,OK,261.410,-36.962,-1786.865,OK,173.059,1.069,-1788.968,OK,265.002,52.599,-1778.130,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995649,1780408860.818672122,1,OK,0.9102960,0.0570473,0.3877492,-0.1332566,48.455,-85.116,-1764.226,0.4997202,3,OK,48.862,-85.122,-1764.633,OK,32.756,3.304,-1722.129,OK,-13.777,-66.422,-1696.589,Passive Strays,790995649,1780408860.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995652,1780408860.868672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995652,1780408860.868672122,1,OK,0.6915318,0.0553747,0.0110629,-0.7201354,261.512,-36.794,-1786.985,0.1925413,3,OK,261.419,-36.883,-1786.999,OK,173.087,1.161,-1789.187,OK,265.033,52.674,-1778.426,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995652,1780408860.868672122,1,OK,0.9102142,0.0574596,0.3878739,-0.1332752,48.425,-85.102,-1764.282,0.5117057,3,OK,48.844,-85.129,-1764.709,OK,32.753,3.298,-1722.099,OK,-13.788,-66.422,-1696.614,Passive Strays,790995652,1780408860.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995655,1780408860.918672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995655,1780408860.918672121,1,OK,0.6915402,0.0552495,0.0114904,-0.7201303,261.541,-36.789,-1787.112,0.1916576,3,OK,261.450,-36.874,-1787.126,OK,173.106,1.160,-1789.229,OK,265.064,52.673,-1778.516,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995655,1780408860.918672121,1,OK,0.9104734,0.0570261,0.3873198,-0.1333024,48.482,-85.133,-1764.184,0.4619603,3,OK,48.856,-85.127,-1764.555,OK,32.751,3.297,-1722.121,OK,-13.779,-66.432,-1696.641,Passive Strays,790995655,1780408860.918,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995658,1780408860.968672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995658,1780408860.968672121,1,OK,0.6914840,0.0546427,0.0112282,-0.7202347,261.553,-36.752,-1787.190,0.1911737,3,OK,261.462,-36.838,-1787.203,OK,173.128,1.216,-1789.306,OK,265.102,52.718,-1778.704,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995658,1780408860.968672121,1,OK,0.9103290,0.0572204,0.3876440,-0.1332633,48.446,-85.118,-1764.239,0.5025789,3,OK,48.856,-85.133,-1764.652,OK,32.744,3.295,-1722.115,OK,-13.800,-66.428,-1696.612,Passive Strays,790995658,1780408860.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.565,519.889,-2466.924
4,Port 0x01: JJH Probe  s/n:3E4C880C,790995661,1780408861.018672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790995661,1780408861.018672121,1,OK,0.6913729,0.0547996,0.0108545,-0.7203352,261.620,-36.709,-1787.391,0.1929497,3,OK,261.534,-36.801,-1787.405,OK,173.205,1.290,-1789.584,OK,265.194,52.766,-1778.931,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790995661,1780408861.018672121,1,OK,0.9102933,0.0573253,0.3877241,-0.1332289,48.451,-85.106,-1764.274,0.5010285,3,OK,48.860,-85.124,-1764.687,OK,32.754,3.300,-1722.124,OK,-13.782,-66.429,-1696.636,Passive Strays,790995661,1780408861.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.606,519.894,-2466.933
