Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996498,1780408874.968672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996498,1780408874.968672127,1,OK,0.6831352,0.0067964,-0.0015045,-0.7302588,252.564,-34.158,-1773.434,0.2068819,3,OK,252.490,-34.225,-1773.435,OK,165.033,5.986,-1774.198,OK,258.741,55.565,-1772.724,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996498,1780408874.968672127,1,OK,0.9288317,0.0663374,0.3399397,-0.1315753,27.288,-85.647,-1763.378,0.5426751,3,OK,27.784,-85.736,-1763.803,OK,7.666,2.774,-1722.784,OK,-41.575,-66.839,-1702.483,Passive Strays,790996498,1780408874.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.565,519.901,-2466.926
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996501,1780408875.018672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996501,1780408875.018672127,1,OK,0.6831194,0.0064462,-0.0019164,-0.7302757,252.559,-34.171,-1773.424,0.2139107,3,OK,252.480,-34.241,-1773.426,OK,165.030,5.971,-1774.236,OK,258.747,55.560,-1772.811,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996501,1780408875.018672127,1,OK,0.9289005,0.0664506,0.3397573,-0.1315032,27.290,-85.652,-1763.373,0.5275922,3,OK,27.773,-85.741,-1763.787,OK,7.646,2.764,-1722.767,OK,-41.585,-66.863,-1702.517,Passive Strays,790996501,1780408875.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996504,1780408875.068672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996504,1780408875.068672127,1,OK,0.6831259,0.0064898,-0.0014237,-0.7302704,252.560,-34.168,-1773.462,0.2082952,3,OK,252.485,-34.244,-1773.463,OK,165.033,5.980,-1774.189,OK,258.736,55.562,-1772.782,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996504,1780408875.068672127,1,OK,0.9287935,0.0667149,0.3400068,-0.1314807,27.286,-85.632,-1763.390,0.5563846,3,OK,27.795,-85.743,-1763.834,OK,7.661,2.769,-1722.714,OK,-41.575,-66.853,-1702.473,Passive Strays,790996504,1780408875.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.574,519.901,-2467.010
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996507,1780408875.118672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996507,1780408875.118672127,1,OK,0.6831189,0.0069819,-0.0016080,-0.7302720,252.567,-34.186,-1773.449,0.2058972,3,OK,252.491,-34.260,-1773.450,OK,165.045,5.965,-1774.245,OK,258.742,55.542,-1772.727,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996507,1780408875.118672127,1,OK,0.9287519,0.0663795,0.3401814,-0.1314925,27.281,-85.645,-1763.376,0.5609085,3,OK,27.794,-85.745,-1763.818,OK,7.665,2.773,-1722.750,OK,-41.571,-66.855,-1702.430,Passive Strays,790996507,1780408875.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996510,1780408875.168672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996510,1780408875.168672127,1,OK,0.6831357,0.0070003,-0.0020462,-0.7302550,252.561,-34.173,-1773.376,0.2060777,3,OK,252.479,-34.244,-1773.377,OK,165.043,5.970,-1774.251,OK,258.732,55.555,-1772.705,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996510,1780408875.168672127,1,OK,0.9287917,0.0663502,0.3400764,-0.1314979,27.291,-85.646,-1763.363,0.5572047,3,OK,27.800,-85.746,-1763.803,OK,7.663,2.773,-1722.748,OK,-41.569,-66.849,-1702.438,Passive Strays,790996510,1780408875.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996513,1780408875.218672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996513,1780408875.218672127,1,OK,0.6831133,0.0066159,-0.0021162,-0.7302794,252.537,-34.187,-1773.378,0.2124457,3,OK,252.455,-34.266,-1773.380,OK,165.017,5.960,-1774.238,OK,258.718,55.551,-1772.767,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996513,1780408875.218672127,1,OK,0.9286510,0.0667101,0.3404101,-0.1314457,27.240,-85.636,-1763.456,0.5861542,3,OK,27.777,-85.755,-1763.924,OK,7.642,2.758,-1722.750,OK,-41.598,-66.864,-1702.454,Passive Strays,790996513,1780408875.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.514,519.890,-2466.906
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996516,1780408875.268672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996516,1780408875.268672127,1,OK,0.6830853,0.0064843,-0.0021844,-0.7303065,252.571,-34.181,-1773.385,0.2137216,3,OK,252.487,-34.255,-1773.387,OK,165.054,5.970,-1774.248,OK,258.764,55.555,-1772.800,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996516,1780408875.268672127,1,OK,0.9289381,0.0664683,0.3396257,-0.1315691,27.319,-85.668,-1763.349,0.5232435,3,OK,27.798,-85.767,-1763.763,OK,7.673,2.763,-1722.748,OK,-41.564,-66.867,-1702.517,Passive Strays,790996516,1780408875.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996519,1780408875.318672127,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996519,1780408875.318672127,1,OK,0.6830670,0.0061661,-0.0026103,-0.7303250,252.567,-34.182,-1773.326,0.2116250,3,OK,252.489,-34.264,-1773.327,OK,165.052,5.979,-1774.241,OK,258.759,55.556,-1772.834,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996519,1780408875.318672127,1,OK,0.9288429,0.0665894,0.3398810,-0.1315203,27.295,-85.652,-1763.406,0.5473138,3,OK,27.796,-85.754,-1763.839,OK,7.668,2.762,-1722.766,OK,-41.580,-66.866,-1702.514,Passive Strays,790996519,1780408875.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996522,1780408875.368672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996522,1780408875.368672122,1,OK,0.6830732,0.0066414,-0.0017667,-0.7303176,252.526,-34.182,-1773.435,0.2083727,3,OK,252.449,-34.258,-1773.436,OK,165.010,5.978,-1774.234,OK,258.715,55.549,-1772.777,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996522,1780408875.368672122,1,OK,0.9287110,0.0663319,0.3402703,-0.1315750,27.226,-85.654,-1763.419,0.5626590,3,OK,27.741,-85.751,-1763.863,OK,7.630,2.765,-1722.802,OK,-41.611,-66.846,-1702.460,Passive Strays,790996522,1780408875.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.525,519.898,-2466.926
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996525,1780408875.418672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996525,1780408875.418672122,1,OK,0.6831283,0.0065776,-0.0014610,-0.7302673,252.569,-34.177,-1773.528,0.2153467,3,OK,252.491,-34.264,-1773.529,OK,165.042,5.969,-1774.268,OK,258.747,55.566,-1772.841,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996525,1780408875.418672122,1,OK,0.9287801,0.0660453,0.3401609,-0.1315143,27.279,-85.672,-1763.413,0.5513227,3,OK,27.782,-85.749,-1763.840,OK,7.658,2.753,-1722.856,OK,-41.574,-66.866,-1702.480,Passive Strays,790996525,1780408875.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996528,1780408875.468672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996528,1780408875.468672121,1,OK,0.6831014,0.0064351,-0.0024831,-0.7302910,252.570,-34.159,-1773.358,0.2079306,3,OK,252.482,-34.226,-1773.360,OK,165.059,5.989,-1774.271,OK,258.754,55.571,-1772.816,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996528,1780408875.468672121,1,OK,0.9288595,0.0661824,0.3398992,-0.1315615,27.303,-85.664,-1763.404,0.5339689,3,OK,27.789,-85.736,-1763.817,OK,7.678,2.761,-1722.847,OK,-41.568,-66.860,-1702.521,Passive Strays,790996528,1780408875.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996531,1780408875.518672121,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996531,1780408875.518672121,1,OK,0.6831022,0.0065029,-0.0020531,-0.7302909,252.561,-34.164,-1773.456,0.2044770,3,OK,252.481,-34.238,-1773.458,OK,165.049,5.990,-1774.297,OK,258.738,55.565,-1772.852,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996531,1780408875.518672121,1,OK,0.9287539,0.0664388,0.3401636,-0.1314946,27.272,-85.657,-1763.402,0.5583031,3,OK,27.783,-85.758,-1763.843,OK,7.653,2.751,-1722.766,OK,-41.575,-66.864,-1702.462,Passive Strays,790996531,1780408875.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.589,519.899,-2467.008
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996534,1780408875.568672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996534,1780408875.568672122,1,OK,0.6830958,0.0063275,-0.0022013,-0.7302980,252.552,-34.159,-1773.460,0.2124424,3,OK,252.472,-34.233,-1773.461,OK,165.031,5.991,-1774.314,OK,258.742,55.575,-1772.897,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996534,1780408875.568672122,1,OK,0.9287356,0.0665975,0.3401765,-0.1315100,27.255,-85.641,-1763.443,0.5681883,3,OK,27.775,-85.747,-1763.894,OK,7.643,2.756,-1722.779,OK,-41.593,-66.847,-1702.493,Passive Strays,790996534,1780408875.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,790996537,1780408875.618672122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,790996537,1780408875.618672122,1,OK,0.6830837,0.0066958,-0.0017797,-0.7303072,252.563,-34.157,-1773.504,0.2017553,3,OK,252.485,-34.220,-1773.506,OK,165.047,6.000,-1774.310,OK,258.748,55.560,-1772.841,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,790996537,1780408875.618672122,1,OK,0.9289675,0.0659550,0.3396415,-0.1315791,27.305,-85.682,-1763.324,0.5180890,3,OK,27.777,-85.745,-1763.722,OK,7.650,2.755,-1722.824,OK,-41.582,-66.856,-1702.497,Passive Strays,790996537,1780408875.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,720.567,519.901,-2466.965
