Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884486,1781273674.768532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884486,1781273674.768532762,1,OK,0.9726007,-0.1126165,0.1544787,-0.1322939,93.621,183.751,-1801.749,0.5883004,3,OK,93.480,183.120,-1801.578,OK,42.473,109.891,-1769.324,OK,11.084,210.025,-1777.389,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884486,1781273674.768532762,1,OK,0.7653080,-0.6185087,-0.0814462,-0.1584837,78.136,-263.273,-1503.000,1.0848831,3,OK,78.588,-263.549,-1501.937,OK,51.103,-239.844,-1597.103,OK,-9.593,-250.082,-1532.625,Passive Strays,842884486,1781273674.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.916,489.865,-2102.988,Saturated,362.466,419.057,-2101.182,Possible Phantom,344.850,459.427,-2151.729,Possible Phantom,308.273,386.560,-1933.069,OK,141.919,27.753,-1689.753,OK,135.937,-41.650,-1681.824,OK,127.054,-120.606,-1678.385,OK,124.674,-191.725,-1677.036
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884489,1781273674.818532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884489,1781273674.818532762,1,OK,0.9726684,-0.1127297,0.1539153,-0.1323563,93.638,183.748,-1801.705,0.5918336,3,OK,93.472,183.115,-1801.524,OK,42.466,109.897,-1769.312,OK,11.089,210.028,-1777.452,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884489,1781273674.818532762,1,OK,0.7653628,-0.6184481,-0.0814063,-0.1584763,78.136,-263.302,-1503.009,1.0726168,3,OK,78.587,-263.574,-1501.961,OK,51.101,-239.860,-1597.089,OK,-9.598,-250.104,-1532.630,Passive Strays,842884489,1781273674.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.907,489.858,-2103.006,Saturated,362.460,419.054,-2101.160,Possible Phantom,344.831,459.412,-2151.649,Possible Phantom,308.263,386.559,-1933.036,OK,141.921,27.756,-1689.819,OK,135.936,-41.652,-1681.769,OK,127.042,-120.606,-1678.370,OK,124.668,-191.716,-1677.026
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884492,1781273674.868532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884492,1781273674.868532762,1,OK,0.9725430,-0.1132254,0.1543402,-0.1323602,93.616,183.722,-1801.736,0.5706783,3,OK,93.472,183.111,-1801.567,OK,42.459,109.882,-1769.217,OK,11.088,210.017,-1777.422,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884492,1781273674.868532762,1,OK,0.7653651,-0.6184499,-0.0813851,-0.1584692,78.140,-263.324,-1502.975,1.0743302,3,OK,78.586,-263.596,-1501.925,OK,51.102,-239.880,-1597.059,OK,-9.589,-250.126,-1532.587,Passive Strays,842884492,1781273674.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.901,489.855,-2103.010,Saturated,362.461,419.041,-2101.144,Possible Phantom,344.835,459.406,-2151.648,Possible Phantom,308.270,386.556,-1933.040,OK,141.913,27.758,-1689.774,OK,135.946,-41.651,-1681.798,OK,127.044,-120.614,-1678.417,OK,124.667,-191.718,-1676.970
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884495,1781273674.918532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884495,1781273674.918532762,1,OK,0.9726652,-0.1127725,0.1538601,-0.1324079,93.650,183.732,-1801.664,0.5884765,3,OK,93.484,183.103,-1801.483,OK,42.469,109.883,-1769.266,OK,11.100,210.026,-1777.423,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884495,1781273674.918532762,1,OK,0.7655072,-0.6182912,-0.0812830,-0.1584541,78.158,-263.354,-1502.996,1.0446210,3,OK,78.602,-263.619,-1501.976,OK,51.106,-239.876,-1597.023,OK,-9.575,-250.137,-1532.603,Passive Strays,842884495,1781273674.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.913,489.840,-2102.954,Saturated,362.465,419.042,-2101.142,Possible Phantom,344.854,459.415,-2151.752,Possible Phantom,308.282,386.558,-1933.116,OK,141.918,27.755,-1689.681,OK,135.955,-41.648,-1681.766,OK,127.056,-120.611,-1678.369,OK,124.677,-191.727,-1677.001
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884498,1781273674.968532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884498,1781273674.968532762,1,OK,0.9726473,-0.1127032,0.1540914,-0.1323292,93.645,183.744,-1801.676,0.5851282,3,OK,93.495,183.118,-1801.502,OK,42.475,109.889,-1769.268,OK,11.098,210.016,-1777.388,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884498,1781273674.968532762,1,OK,0.7655179,-0.6182140,-0.0815649,-0.1585591,78.137,-263.345,-1502.961,1.0436801,3,OK,78.596,-263.615,-1501.929,OK,51.115,-239.869,-1596.992,OK,-9.574,-250.140,-1532.642,Passive Strays,842884498,1781273674.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.916,489.855,-2102.957,Saturated,362.475,419.046,-2101.152,Possible Phantom,344.840,459.412,-2151.634,Possible Phantom,308.269,386.550,-1932.995,OK,141.920,27.756,-1689.673,OK,135.959,-41.638,-1681.786,OK,127.059,-120.599,-1678.368,OK,124.677,-191.719,-1677.005
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884501,1781273675.018532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884501,1781273675.018532762,1,OK,0.9726843,-0.1127433,0.1538084,-0.1323528,93.653,183.740,-1801.651,0.5862865,3,OK,93.485,183.114,-1801.471,OK,42.474,109.883,-1769.262,OK,11.102,210.018,-1777.418,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884501,1781273675.018532762,1,OK,0.7655622,-0.6181819,-0.0814916,-0.1585079,78.144,-263.344,-1502.967,1.0320703,3,OK,78.599,-263.609,-1501.953,OK,51.115,-239.860,-1596.977,OK,-9.578,-250.136,-1532.628,Passive Strays,842884501,1781273675.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.915,489.855,-2102.958,Saturated,362.469,419.053,-2101.148,Possible Phantom,344.845,459.421,-2151.650,Possible Phantom,308.269,386.544,-1932.964,OK,141.927,27.765,-1689.721,OK,135.953,-41.645,-1681.771,OK,127.061,-120.606,-1678.387,OK,124.681,-191.711,-1677.001
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884504,1781273675.068532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884504,1781273675.068532762,1,OK,0.9726247,-0.1129325,0.1540273,-0.1323750,93.649,183.739,-1801.668,0.5834583,3,OK,93.493,183.117,-1801.492,OK,42.476,109.899,-1769.228,OK,11.108,210.022,-1777.400,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884504,1781273675.068532762,1,OK,0.7654983,-0.6182927,-0.0812779,-0.1584938,78.162,-263.347,-1502.959,1.0423152,3,OK,78.605,-263.611,-1501.947,OK,51.123,-239.869,-1596.985,OK,-9.576,-250.125,-1532.564,Passive Strays,842884504,1781273675.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.926,489.864,-2102.991,Saturated,362.471,419.051,-2101.143,Possible Phantom,344.841,459.407,-2151.591,Possible Phantom,308.280,386.557,-1932.990,OK,141.927,27.763,-1689.722,OK,135.948,-41.645,-1681.708,OK,127.065,-120.605,-1678.425,OK,124.688,-191.712,-1676.984
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884507,1781273675.118532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884507,1781273675.118532762,1,OK,0.9725639,-0.1130081,0.1543626,-0.1323659,93.633,183.724,-1801.728,0.5747313,3,OK,93.486,183.110,-1801.557,OK,42.472,109.880,-1769.244,OK,11.107,210.014,-1777.404,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884507,1781273675.118532762,1,OK,0.7655571,-0.6182029,-0.0813615,-0.1585178,78.160,-263.355,-1502.961,1.0373323,3,OK,78.609,-263.620,-1501.948,OK,51.128,-239.864,-1596.977,OK,-9.571,-250.134,-1532.590,Passive Strays,842884507,1781273675.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.910,489.842,-2102.951,Saturated,362.475,419.042,-2101.143,Possible Phantom,344.832,459.396,-2151.520,Possible Phantom,308.265,386.538,-1932.898,OK,141.932,27.760,-1689.760,OK,135.952,-41.638,-1681.756,OK,127.063,-120.608,-1678.370,OK,124.692,-191.724,-1677.022
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884510,1781273675.168532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884510,1781273675.168532762,1,OK,0.9726742,-0.1130884,0.1535908,-0.1323851,93.656,183.736,-1801.666,0.5828622,3,OK,93.479,183.113,-1801.482,OK,42.477,109.886,-1769.239,OK,11.100,210.033,-1777.484,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884510,1781273675.168532762,1,OK,0.7655058,-0.6182900,-0.0812370,-0.1584895,78.162,-263.361,-1502.973,1.0413843,3,OK,78.602,-263.624,-1501.962,OK,51.120,-239.880,-1596.998,OK,-9.575,-250.135,-1532.568,Passive Strays,842884510,1781273675.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.901,489.843,-2102.918,Saturated,362.469,419.051,-2101.162,Possible Phantom,344.833,459.398,-2151.571,Possible Phantom,308.262,386.536,-1932.938,OK,141.917,27.752,-1689.671,OK,135.955,-41.641,-1681.755,OK,127.056,-120.601,-1678.409,OK,124.681,-191.720,-1676.916
4,Port 0x01: JJH Probe  s/n:3E4C880C,842884513,1781273675.218532762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842884513,1781273675.218532762,1,OK,0.9726237,-0.1127021,0.1542036,-0.1323727,93.650,183.742,-1801.709,0.5898433,3,OK,93.494,183.111,-1801.532,OK,42.484,109.893,-1769.294,OK,11.112,210.028,-1777.404,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842884513,1781273675.218532762,1,OK,0.7654508,-0.6183335,-0.0812841,-0.1585612,78.162,-263.358,-1502.956,1.0768840,3,OK,78.605,-263.629,-1501.910,OK,51.137,-239.876,-1597.038,OK,-9.572,-250.133,-1532.553,Passive Strays,842884513,1781273675.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Saturated,365.939,489.879,-2103.064,Saturated,362.471,419.043,-2101.095,Possible Phantom,344.844,459.406,-2151.564,Possible Phantom,308.280,386.551,-1932.948,OK,141.925,27.764,-1689.642,OK,135.957,-41.632,-1681.728,OK,127.054,-120.597,-1678.346,OK,124.696,-191.712,-1676.983
