Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007043,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007043,1780409051,1,OK,0.6906532,0.0109153,-0.0133411,-0.7229807,255.369,-32.224,-1788.196,0.1986191,3,OK,255.285,-32.313,-1788.199,OK,167.101,6.08,-1791.379,OK,259.65,57.621,-1788.428,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007043,1780409051,1,OK,0.8323307,0.0288575,0.5382179,-0.1292837,75.19,-87.939,-1708.549,0.4307822,3,OK,75.387,-87.772,-1708.892,OK,72.378,0.082,-1663.257,OK,38.932,-70.617,-1623.919,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007046,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007046,1780409051,1,OK,0.6906726,0.0110133,-0.0130105,-0.7229666,255.344,-32.218,-1788.23,0.2045622,3,OK,255.263,-32.306,-1788.233,OK,167.063,6.078,-1791.363,OK,259.63,57.63,-1788.409,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007046,1780409051,1,OK,0.8323403,0.0289059,0.5382064,-0.1292591,75.17,-87.94,-1708.533,0.4241003,3,OK,75.364,-87.78,-1708.873,OK,72.353,0.076,-1663.223,OK,38.915,-70.62,-1623.914,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007049,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007049,1780409051,1,OK,0.6907272,0.0114788,-0.0131368,-0.722905,255.345,-32.223,-1788.215,0.1953737,3,OK,255.268,-32.312,-1788.218,OK,167.067,6.068,-1791.405,OK,259.604,57.619,-1788.349,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007049,1780409051,1,OK,0.832366,0.0286906,0.5381768,-0.1292649,75.175,-87.954,-1708.503,0.408516,3,OK,75.358,-87.779,-1708.814,OK,72.34,0.077,-1663.235,OK,38.92,-70.622,-1623.912,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007052,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007052,1780409051,1,OK,0.6906486,0.0107988,-0.0136785,-0.7229805,255.341,-32.227,-1788.15,0.2008512,3,OK,255.264,-32.324,-1788.153,OK,167.07,6.08,-1791.385,OK,259.623,57.624,-1788.44,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007052,1780409051,1,OK,0.8323516,0.0290405,0.538203,-0.1291701,75.177,-87.926,-1708.563,0.4274808,3,OK,75.376,-87.786,-1708.921,OK,72.35,0.083,-1663.209,OK,38.919,-70.619,-1623.938,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007055,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007055,1780409051,1,OK,0.690749,0.011007,-0.0129896,-0.7228941,255.333,-32.228,-1788.203,0.1951283,3,OK,255.263,-32.322,-1788.205,OK,167.045,6.063,-1791.331,OK,259.586,57.616,-1788.38,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007055,1780409051,1,OK,0.832328,0.0287844,0.5382387,-0.1292314,75.159,-87.943,-1708.581,0.4355158,3,OK,75.358,-87.777,-1708.929,OK,72.335,0.082,-1663.295,OK,38.898,-70.623,-1623.941,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007058,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007058,1780409051,1,OK,0.6907154,0.0112719,-0.0124527,-0.7229316,255.355,-32.242,-1788.244,0.2001379,3,OK,255.28,-32.336,-1788.246,OK,167.071,6.054,-1791.297,OK,259.621,57.606,-1788.32,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007058,1780409051,1,OK,0.8323566,0.0288936,0.53818,-0.1292668,75.193,-87.946,-1708.546,0.4157942,3,OK,75.382,-87.785,-1708.875,OK,72.373,0.073,-1663.239,OK,38.937,-70.625,-1623.941,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007061,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007061,1780409051,1,OK,0.6907532,0.0114063,-0.013264,-0.722879,255.341,-32.239,-1788.081,0.2017187,3,OK,255.26,-32.33,-1788.083,OK,167.059,6.04,-1791.287,OK,259.599,57.61,-1788.24,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007061,1780409051,1,OK,0.8323709,0.0287197,0.5381583,-0.1293036,75.194,-87.957,-1708.55,0.4105497,3,OK,75.379,-87.785,-1708.866,OK,72.367,0.078,-1663.281,OK,38.936,-70.622,-1623.955,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007064,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007064,1780409051,1,OK,0.6907337,0.0110875,-0.0126579,-0.7229134,255.305,-32.248,-1788.157,0.1982658,3,OK,255.228,-32.334,-1788.159,OK,167.019,6.041,-1791.232,OK,259.569,57.596,-1788.282,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007064,1780409051,1,OK,0.8323458,0.0288208,0.5382161,-0.1292021,75.163,-87.936,-1708.525,0.42621,3,OK,75.357,-87.767,-1708.86,OK,72.333,0.08,-1663.229,OK,38.904,-70.621,-1623.903,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007067,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007067,1780409051,1,OK,0.6908014,0.0114271,-0.0122556,-0.7228503,255.342,-32.242,-1788.19,0.2052628,3,OK,255.27,-32.337,-1788.192,OK,167.038,6.032,-1791.219,OK,259.592,57.611,-1788.221,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007067,1780409051,1,OK,0.832386,0.0288614,0.5381605,-0.1291659,75.196,-87.941,-1708.507,0.41526,3,OK,75.386,-87.785,-1708.84,OK,72.351,0.074,-1663.19,OK,38.935,-70.625,-1623.907,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791007070,1780409051,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791007070,1780409051,1,OK,0.6907803,0.0114927,-0.012416,-0.7228668,255.334,-32.244,-1788.173,0.1954487,3,OK,255.258,-32.33,-1788.175,OK,167.043,6.037,-1791.235,OK,259.581,57.598,-1788.216,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791007070,1780409051,1,OK,0.8323357,0.0288854,0.5382157,-0.1292546,75.183,-87.94,-1708.505,0.4149967,3,OK,75.371,-87.779,-1708.833,OK,72.364,0.079,-1663.196,OK,38.934,-70.621,-1623.897,,,,,,,,,,,,
