Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004685,1780409011.418660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004685,1780409011.418660604,1,OK,0.693898,0.0246356,-0.0027042,-0.7196467,254.01,-33.061,-1784.169,0.19515,3,OK,253.937,-33.148,-1784.175,OK,165.373,4.467,-1786.511,OK,257.395,56.772,-1781.311,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004685,1780409011.418660604,1,OK,0.8320037,0.0284757,0.5387282,-0.129348,75.54,-87.848,-1708.509,0.3938147,3,OK,75.71,-87.65,-1708.782,OK,72.771,0.191,-1663.277,OK,39.407,-70.512,-1623.893,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004688,1780409011.468660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004688,1780409011.468660604,1,OK,0.6938855,0.0244913,-0.003647,-0.7196595,253.997,-33.063,-1784.038,0.1899481,3,OK,253.91,-33.135,-1784.043,OK,165.381,4.462,-1786.535,OK,257.386,56.764,-1781.316,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004688,1780409011.468660604,1,OK,0.8319115,0.0287153,0.5388868,-0.129227,75.53,-87.832,-1708.581,0.4188983,3,OK,75.721,-87.673,-1708.917,OK,72.77,0.191,-1663.272,OK,39.413,-70.512,-1623.91,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004691,1780409011.518660605,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004691,1780409011.518660605,1,OK,0.6939116,0.0243939,-0.0032033,-0.7196398,254.012,-33.051,-1784.102,0.1921484,3,OK,253.931,-33.119,-1784.107,OK,165.378,4.466,-1786.514,OK,257.402,56.772,-1781.338,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004691,1780409011.518660605,1,OK,0.8320162,0.0287562,0.538717,-0.129252,75.552,-87.83,-1708.56,0.3939048,3,OK,75.727,-87.658,-1708.855,OK,72.781,0.189,-1663.257,OK,39.417,-70.517,-1623.94,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004694,1780409011.568660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004694,1780409011.568660604,1,OK,0.6939548,0.024444,-0.0025292,-0.719599,254.013,-33.049,-1784.202,0.1920586,3,OK,253.938,-33.123,-1784.207,OK,165.368,4.461,-1786.498,OK,257.389,56.775,-1781.347,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004694,1780409011.568660604,1,OK,0.8319657,0.0285021,0.5387704,-0.129411,75.542,-87.861,-1708.517,0.3963673,3,OK,75.716,-87.676,-1708.805,OK,72.788,0.186,-1663.28,OK,39.419,-70.513,-1623.892,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004697,1780409011.618660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004697,1780409011.618660604,1,OK,0.6939238,0.0244442,-0.0031311,-0.7196266,254.036,-33.054,-1784.143,0.2010929,3,OK,253.951,-33.137,-1784.149,OK,165.403,4.458,-1786.546,OK,257.424,56.785,-1781.363,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004697,1780409011.618660604,1,OK,0.8320295,0.0284579,0.5386889,-0.1293496,75.576,-87.861,-1708.508,0.3862788,3,OK,75.743,-87.667,-1708.775,OK,72.799,0.181,-1663.276,OK,39.441,-70.52,-1623.908,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004700,1780409011.668660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004700,1780409011.668660604,1,OK,0.6939346,0.0245354,-0.0027911,-0.7196145,254.027,-33.062,-1784.212,0.1951016,3,OK,253.957,-33.153,-1784.218,OK,165.385,4.458,-1786.562,OK,257.403,56.772,-1781.378,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004700,1780409011.668660604,1,OK,0.8318541,0.0285994,0.5389733,-0.1292617,75.539,-87.845,-1708.545,0.4232822,3,OK,75.731,-87.679,-1708.881,OK,72.788,0.185,-1663.261,OK,39.437,-70.515,-1623.862,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004703,1780409011.718660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004703,1780409011.718660604,1,OK,0.6939036,0.0244727,-0.0029112,-0.719646,254.012,-33.063,-1784.14,0.1965848,3,OK,253.936,-33.149,-1784.145,OK,165.377,4.461,-1786.505,OK,257.399,56.772,-1781.328,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004703,1780409011.718660604,1,OK,0.8320019,0.0285685,0.5387319,-0.1293238,75.559,-87.851,-1708.505,0.3848158,3,OK,75.727,-87.667,-1708.78,OK,72.789,0.184,-1663.245,OK,39.434,-70.519,-1623.9,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004706,1780409011.768660605,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004706,1780409011.768660605,1,OK,0.6939503,0.0248421,-0.0021802,-0.7195909,254.027,-33.054,-1784.268,0.1932552,3,OK,253.952,-33.146,-1784.273,OK,165.39,4.463,-1786.532,OK,257.391,56.778,-1781.318,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004706,1780409011.768660605,1,OK,0.8319815,0.0289022,0.5387753,-0.1292002,75.568,-87.823,-1708.563,0.3954822,3,OK,75.746,-87.667,-1708.873,OK,72.803,0.187,-1663.219,OK,39.444,-70.522,-1623.933,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004709,1780409011.818660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004709,1780409011.818660604,1,OK,0.6939263,0.0247675,-0.0026352,-0.7196152,254.01,-33.057,-1784.214,0.1878114,3,OK,253.941,-33.139,-1784.219,OK,165.371,4.468,-1786.553,OK,257.382,56.766,-1781.331,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004709,1780409011.818660604,1,OK,0.8319175,0.0287655,0.5388752,-0.1292258,75.542,-87.831,-1708.565,0.4077007,3,OK,75.728,-87.674,-1708.889,OK,72.786,0.195,-1663.247,OK,39.428,-70.52,-1623.906,,,,,,,,,,,,
4,Port 0x01: JJH Probe  s/n:3E4C880C,791004712,1780409011.868660604,1,Too Few Markers,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,0,3,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Missing,-3.70E+28,-3.70E+28,-3.70E+28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791004712,1780409011.868660604,1,OK,0.6939185,0.0246784,-0.0027296,-0.7196253,254.026,-33.051,-1784.21,0.1974848,3,OK,253.946,-33.135,-1784.216,OK,165.392,4.466,-1786.56,OK,257.409,56.784,-1781.35,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791004712,1780409011.868660604,1,OK,0.8319368,0.0286744,0.5388488,-0.1292318,75.559,-87.839,-1708.591,0.4055444,3,OK,75.74,-87.666,-1708.899,OK,72.793,0.18,-1663.296,OK,39.443,-70.521,-1623.945,,,,,,,,,,,,
