Tools,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506239712,1729171195.201943258,1,OK,-0.6022929,-1.9734513,-14.6346270,80.402,-135.485,-1909.672,0.1099676,3,OK,80.380,-135.472,-1909.677,OK,44.425,-222.213,-1888.123,OK,-9.303,-134.432,-1912.792,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506239712,1729171195.201943258,1,OK,-44.9274658,2.0787562,3.8437711,13.873,30.160,-1842.264,0.1473971,3,OK,14.016,30.139,-1842.263,OK,29.340,127.905,-1834.769,OK,-52.152,96.066,-1838.876,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506239712,1729171195.201943258,1,OK,7.4283700,44.7891909,53.5864856,59.723,-73.123,-1976.179,0.4537455,3,OK,-26.951,-84.978,-1892.048,OK,-99.883,-94.545,-1819.141,OK,-138.661,-114.256,-1806.201,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238138,1729171168.968521554,1,OK,-0.8915121,-2.0531796,-14.5820306,79.849,-136.446,-1910.480,0.1027929,3,OK,79.834,-136.448,-1910.480,OK,43.411,-222.992,-1889.064,OK,-9.856,-134.944,-1913.724,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238138,1729171168.968521554,1,OK,-45.2240099,2.1775569,3.7541522,14.659,29.708,-1843.135,0.1434136,3,OK,14.800,29.669,-1843.135,OK,30.651,127.390,-1835.664,OK,-51.027,95.949,-1839.586,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238138,1729171168.968521554,1,OK,-14.5906378,16.1988915,-9.5415356,64.060,-1.836,-1961.815,0.2604653,3,OK,-49.873,25.865,-1928.163,OK,-145.113,50.194,-1899.529,OK,-185.994,36.401,-1884.906,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238139,1729171168.985188220,1,OK,-0.9004750,-1.9877551,-14.4947663,79.858,-136.455,-1910.512,0.0974167,3,OK,79.840,-136.455,-1910.513,OK,43.431,-223.026,-1889.190,OK,-9.845,-134.944,-1913.652,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238139,1729171168.985188220,1,OK,-45.2271854,2.1685905,3.7430499,14.667,29.699,-1843.103,0.1439440,3,OK,14.807,29.660,-1843.103,OK,30.654,127.378,-1835.657,OK,-51.004,95.948,-1839.568,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238139,1729171168.985188220,1,OK,-14.5887651,16.1381859,-9.9528291,64.109,-1.810,-1961.686,0.2469829,3,OK,-49.854,25.887,-1928.146,OK,-145.115,50.246,-1899.618,OK,-185.981,36.437,-1884.859,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238140,1729171169.001854887,1,OK,-0.9023640,-2.0068360,-14.5150498,79.862,-136.435,-1910.475,0.0975696,3,OK,79.840,-136.443,-1910.474,OK,43.429,-222.990,-1889.135,OK,-9.839,-134.918,-1913.646,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238140,1729171169.001854887,1,OK,-45.2216778,2.1711546,3.7257350,14.669,29.711,-1843.083,0.1383057,3,OK,14.805,29.672,-1843.083,OK,30.664,127.404,-1835.657,OK,-51.022,95.944,-1839.545,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238140,1729171169.001854887,1,OK,-14.6090832,16.2538976,-9.6822367,63.995,-1.832,-1962.072,0.2546707,3,OK,-49.859,25.888,-1928.315,OK,-145.107,50.264,-1899.573,OK,-185.985,36.464,-1884.850,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238141,1729171169.018521554,1,OK,-0.9189475,-1.9292529,-14.5590824,79.858,-136.457,-1910.583,0.0981903,3,OK,79.847,-136.450,-1910.585,OK,43.419,-222.996,-1889.126,OK,-9.848,-134.918,-1913.631,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238141,1729171169.018521554,1,OK,-45.2235837,2.1997621,3.6681127,14.658,29.721,-1843.093,0.1425584,3,OK,14.796,29.680,-1843.093,OK,30.641,127.408,-1835.719,OK,-51.012,95.964,-1839.507,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238141,1729171169.018521554,1,OK,-14.5928881,16.0836103,-10.1236294,64.130,-1.835,-1961.531,0.2461692,3,OK,-49.872,25.879,-1928.093,OK,-145.135,50.251,-1899.664,OK,-186.002,36.452,-1884.869,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238142,1729171169.035188220,1,OK,-0.9033128,-2.0077510,-14.4892873,79.856,-136.444,-1910.482,0.1002084,3,OK,79.830,-136.459,-1910.479,OK,43.428,-223.006,-1889.182,OK,-9.846,-134.922,-1913.655,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238142,1729171169.035188220,1,OK,-45.2196507,2.2177796,3.7069453,14.672,29.706,-1843.069,0.1354258,3,OK,14.804,29.671,-1843.069,OK,30.662,127.393,-1835.623,OK,-51.009,95.933,-1839.455,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238142,1729171169.035188220,1,OK,-14.5895614,16.1675327,-9.7201683,64.055,-1.817,-1961.790,0.2598422,3,OK,-49.886,25.883,-1928.199,OK,-145.148,50.218,-1899.616,OK,-186.026,36.429,-1884.938,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238143,1729171169.051854887,1,OK,-0.9114288,-1.9405724,-14.4918853,79.860,-136.444,-1910.573,0.0899729,3,OK,79.845,-136.447,-1910.572,OK,43.431,-223.000,-1889.228,OK,-9.843,-134.923,-1913.637,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238143,1729171169.051854887,1,OK,-45.2285412,2.1441811,3.7442425,14.666,29.717,-1843.083,0.1413745,3,OK,14.804,29.679,-1843.083,OK,30.660,127.400,-1835.659,OK,-51.010,95.963,-1839.588,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238143,1729171169.051854887,1,OK,-14.5982804,16.2281302,-9.6028222,63.997,-1.823,-1962.013,0.2532821,3,OK,-49.897,25.882,-1928.306,OK,-145.143,50.239,-1899.615,OK,-186.019,36.432,-1884.945,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238144,1729171169.068521554,1,OK,-0.9096354,-1.9621786,-14.5377644,79.860,-136.456,-1910.552,0.0962295,3,OK,79.848,-136.454,-1910.553,OK,43.424,-223.004,-1889.149,OK,-9.847,-134.933,-1913.652,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238144,1729171169.068521554,1,OK,-45.2180518,2.1934238,3.7409969,14.667,29.704,-1843.077,0.1395631,3,OK,14.804,29.671,-1843.077,OK,30.652,127.387,-1835.608,OK,-51.021,95.934,-1839.503,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238144,1729171169.068521554,1,OK,-14.5934025,16.1421603,-9.9677836,64.061,-1.831,-1961.812,0.2487297,3,OK,-49.902,25.877,-1928.262,OK,-145.141,50.240,-1899.733,OK,-186.028,36.434,-1884.958,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238145,1729171169.085188220,1,OK,-0.8998736,-1.9901167,-14.4240506,79.845,-136.444,-1910.520,0.0859422,3,OK,79.829,-136.457,-1910.517,OK,43.421,-223.020,-1889.313,OK,-9.857,-134.943,-1913.661,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238145,1729171169.085188220,1,OK,-45.2205229,2.2009633,3.7501007,14.658,29.700,-1843.130,0.1364649,3,OK,14.792,29.663,-1843.130,OK,30.643,127.383,-1835.641,OK,-51.019,95.931,-1839.543,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238145,1729171169.085188220,1,OK,-14.5956786,16.1458187,-9.9735607,64.060,-1.840,-1961.800,0.2535958,3,OK,-49.892,25.873,-1928.244,OK,-145.139,50.233,-1899.704,OK,-186.026,36.440,-1884.926,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506238146,1729171169.101854887,1,OK,-0.9139765,-1.9619623,-14.5603310,79.866,-136.454,-1910.558,0.0968499,3,OK,79.844,-136.454,-1910.559,OK,43.424,-222.991,-1889.120,OK,-9.833,-134.922,-1913.657,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506238146,1729171169.101854887,1,OK,-45.2231019,2.2178494,3.7052253,14.671,29.708,-1843.104,0.1358676,3,OK,14.804,29.676,-1843.104,OK,30.671,127.393,-1835.660,OK,-51.011,95.937,-1839.490,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506238146,1729171169.101854887,1,OK,-14.6051693,16.1720843,-9.7122717,64.050,-1.860,-1961.886,0.2528311,3,OK,-49.881,25.867,-1928.286,OK,-145.137,50.240,-1899.695,OK,-186.013,36.447,-1885.017,Passive Strays,,,,,,,,,,,,
