Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086399,1780410373.318663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086399,1780410373.318663325,1,OK,0.6977930,0.0599383,0.0385226,-0.7127470,257.415,-39.354,-1764.685,0.2182812,3,OK,257.297,-39.434,-1764.700,OK,168.162,-3.399,-1762.509,OK,259.308,49.713,-1752.157,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086399,1780410373.318663325,1,OK,0.9770035,0.1286783,-0.1266119,-0.1134703,44.658,-76.747,-1905.188,0.3884985,3,OK,45.108,-77.027,-1905.122,OK,4.704,13.825,-1895.433,OK,-43.411,-52.807,-1925.544,Passive Strays,791086399,1780410373.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.825,526.843,-2501.520
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086402,1780410373.368663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086402,1780410373.368663325,1,OK,0.6978375,0.0598683,0.0381854,-0.7127275,257.450,-39.370,-1764.578,0.2152089,3,OK,257.336,-39.440,-1764.592,OK,168.188,-3.419,-1762.456,OK,259.336,49.696,-1752.102,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086402,1780410373.368663325,1,OK,0.9770186,0.1291013,-0.1260436,-0.1134920,44.707,-76.746,-1905.301,0.3833045,3,OK,45.147,-77.033,-1905.240,OK,4.737,13.816,-1895.418,OK,-43.372,-52.807,-1925.539,Passive Strays,791086402,1780410373.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.894,526.854,-2501.581
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086405,1780410373.418663325,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086405,1780410373.418663325,1,OK,0.6977929,0.0601845,0.0383758,-0.7127343,257.431,-39.327,-1764.709,0.2142517,3,OK,257.321,-39.404,-1764.724,OK,168.172,-3.368,-1762.578,OK,259.319,49.732,-1752.169,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086405,1780410373.418663325,1,OK,0.9770878,0.1287017,-0.1259313,-0.1134752,44.674,-76.741,-1905.229,0.3804267,3,OK,45.111,-77.022,-1905.168,OK,4.709,13.820,-1895.406,OK,-43.409,-52.813,-1925.456,Passive Strays,791086405,1780410373.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.843,526.857,-2501.525
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086408,1780410373.468663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086408,1780410373.468663324,1,OK,0.6978071,0.0596645,0.0384354,-0.7127609,257.423,-39.298,-1764.748,0.2158745,3,OK,257.317,-39.382,-1764.763,OK,168.163,-3.337,-1762.565,OK,259.317,49.775,-1752.265,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086408,1780410373.468663324,1,OK,0.9771736,0.1283939,-0.1255696,-0.1134860,44.675,-76.725,-1905.243,0.3845432,3,OK,45.112,-77.015,-1905.184,OK,4.701,13.836,-1895.442,OK,-43.407,-52.794,-1925.403,Passive Strays,791086408,1780410373.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.795,526.824,-2501.438
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086411,1780410373.518663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086411,1780410373.518663324,1,OK,0.6977647,0.0600118,0.0383552,-0.7127776,257.468,-39.282,-1764.866,0.2178736,3,OK,257.355,-39.361,-1764.881,OK,168.214,-3.315,-1762.724,OK,259.368,49.786,-1752.349,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086411,1780410373.518663324,1,OK,0.9772320,0.1284907,-0.1250517,-0.1134451,44.716,-76.730,-1905.329,0.3786299,3,OK,45.143,-77.023,-1905.274,OK,4.727,13.825,-1895.462,OK,-43.379,-52.821,-1925.393,Passive Strays,791086411,1780410373.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.839,526.819,-2501.416
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086414,1780410373.568663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086414,1780410373.568663324,1,OK,0.6977860,0.0587725,0.0374058,-0.7129105,257.467,-39.234,-1764.924,0.2110167,3,OK,257.358,-39.303,-1764.937,OK,168.217,-3.243,-1762.852,OK,259.387,49.860,-1752.685,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086414,1780410373.568663324,1,OK,0.9771065,0.1288883,-0.1255869,-0.1134844,44.688,-76.734,-1905.325,0.3814478,3,OK,45.123,-77.024,-1905.266,OK,4.713,13.828,-1895.436,OK,-43.403,-52.808,-1925.483,Passive Strays,791086414,1780410373.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.829,526.850,-2501.461
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086417,1780410373.618663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086417,1780410373.618663324,1,OK,0.6977872,0.0592246,0.0383225,-0.7128232,257.489,-39.159,-1765.161,0.2165192,3,OK,257.385,-39.245,-1765.177,OK,168.230,-3.187,-1762.964,OK,259.398,49.924,-1752.749,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086417,1780410373.618663324,1,OK,0.9770716,0.1287866,-0.1261105,-0.1133194,44.681,-76.721,-1905.227,0.3791180,3,OK,45.120,-76.993,-1905.162,OK,4.697,13.824,-1895.410,OK,-43.411,-52.820,-1925.492,Passive Strays,791086417,1780410373.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.793,526.808,-2501.376
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086420,1780410373.668663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086420,1780410373.668663324,1,OK,0.6977015,0.0581803,0.0377307,-0.7130246,257.517,-39.150,-1765.213,0.2034607,3,OK,257.418,-39.221,-1765.226,OK,168.274,-3.133,-1763.036,OK,259.463,49.941,-1753.010,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086420,1780410373.668663324,1,OK,0.9771954,0.1283161,-0.1254793,-0.1134856,44.708,-76.739,-1905.305,0.3809432,3,OK,45.142,-77.022,-1905.245,OK,4.741,13.820,-1895.508,OK,-43.383,-52.816,-1925.454,Passive Strays,791086420,1780410373.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.876,526.837,-2501.544
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086423,1780410373.718663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086423,1780410373.718663324,1,OK,0.6976805,0.0575272,0.0372836,-0.7131217,257.501,-39.138,-1765.180,0.2057916,3,OK,257.407,-39.210,-1765.193,OK,168.257,-3.102,-1763.031,OK,259.470,49.973,-1753.116,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086423,1780410373.718663324,1,OK,0.9770711,0.1285554,-0.1262726,-0.1134058,44.679,-76.730,-1905.131,0.3793575,3,OK,45.117,-77.007,-1905.068,OK,4.714,13.836,-1895.366,OK,-43.398,-52.816,-1925.428,Passive Strays,791086423,1780410373.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.830,526.840,-2501.515
4,Port 0x01: JJH Probe  s/n:3E4C880C,791086426,1780410373.768663324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,791086426,1780410373.768663324,1,OK,0.6977028,0.0575810,0.0366094,-0.7131305,257.506,-39.116,-1765.211,0.2133774,3,OK,257.391,-39.181,-1765.223,OK,168.275,-3.086,-1763.186,OK,259.476,50.010,-1753.224,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,791086426,1780410373.768663324,1,OK,0.9770751,0.1287052,-0.1260731,-0.1134233,44.676,-76.729,-1905.216,0.3780057,3,OK,45.112,-77.005,-1905.153,OK,4.708,13.828,-1895.407,OK,-43.405,-52.811,-1925.471,Passive Strays,791086426,1780410373.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,1,Out of Volume,725.847,526.837,-2501.518
