Number of frames: 3483
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
1,,,,,,,,,-0.175294504,-0.577783108,0.745763958,-0.281557620,57.816024780,-87.179084778,-2688.405517578,0.083156623,-0.188463986,0.063519873,0.970356166,-0.137315303,122.684616089,37.282154083,-2652.144287109,0.245855495,0.009555816,-0.673972726,0.730893731,-0.107069194,96.444290161,126.053092957,-2704.938476563,0.176330775,
2,,,,,,,,,-0.175439924,-0.577270567,0.746007502,-0.281872928,57.720436096,-87.243232727,-2688.369628906,0.080927595,-0.188652173,0.063734539,0.970298588,-0.137364328,122.674568176,37.199172974,-2652.108886719,0.244744554,0.009365779,-0.673992455,0.730890453,-0.106984124,96.438766479,126.044250488,-2704.937988281,0.177557766,
3,,,,,,,,,-0.175269723,-0.576894701,0.746296108,-0.281984359,57.621376038,-87.305496216,-2688.333740234,0.082742974,-0.188768983,0.063907690,0.970242143,-0.137521908,122.663589478,37.114978790,-2652.081298828,0.242226109,0.009364571,-0.673966944,0.730896056,-0.107106395,96.433998108,126.036170959,-2704.937500000,0.176741242,
4,,,,,,,,,-0.175345436,-0.576564193,0.746631682,-0.281724662,57.525997162,-87.368232727,-2688.299316406,0.082746260,-0.188911930,0.064098753,0.970185697,-0.137634680,122.649200439,37.031497955,-2652.055419922,0.239410743,0.009455018,-0.673923373,0.730935276,-0.107104801,96.423149109,126.023323059,-2704.950195313,0.176331118,
5,,,,,,,,,-0.175486535,-0.576291323,0.746957362,-0.281331599,57.427185059,-87.429283142,-2688.263183594,0.085323080,-0.189151973,0.064327009,0.970147908,-0.137464777,122.633316040,36.949718475,-2652.030273438,0.238499418,0.009237876,-0.673864424,0.730991364,-0.107112497,96.411224365,126.014266968,-2704.948730469,0.175470367,
6,,,,,,,,,-0.175218016,-0.576040566,0.747340322,-0.280995280,57.335300446,-87.487731934,-2688.228515625,0.087604985,-0.189175814,0.064522095,0.970127821,-0.137482226,122.617401123,36.870845795,-2652.007080078,0.236647621,0.009378880,-0.673817515,0.731015801,-0.107228346,96.401679993,126.002670288,-2704.947998047,0.175739974,
7,,,,,,,,,-0.174974874,-0.575878799,0.747747242,-0.280395240,57.247802734,-87.543235779,-2688.190185547,0.091303550,-0.189156443,0.064727962,0.970098555,-0.137618572,122.605583191,36.794097900,-2651.980712891,0.234360605,0.009482986,-0.673814714,0.731028855,-0.107147291,96.396057129,125.994415283,-2704.954101563,0.176365644,
8,,,,,,,,,-0.175274730,-0.575574458,0.748018324,-0.280109555,57.166328430,-87.595413208,-2688.149169922,0.091980286,-0.188994661,0.064914681,0.970131218,-0.137522772,122.596603394,36.718750000,-2651.959716797,0.234577864,0.009546277,-0.673828363,0.731032491,-0.107031174,96.390716553,125.985191345,-2704.956298828,0.177099496,
9,,,,,,,,,-0.174992174,-0.575318873,0.748285711,-0.280097127,57.078506470,-87.644882202,-2688.112060547,0.093579367,-0.188594699,0.065120474,0.970231056,-0.137270018,122.582199097,36.645679474,-2651.939208984,0.238065481,0.009511837,-0.673765838,0.731076837,-0.107125148,96.380378723,125.977661133,-2704.958496094,0.176611707,
10,,,,,,,,,-0.174595192,-0.575075150,0.748551309,-0.280135691,56.996067047,-87.692619324,-2688.078125000,0.092573009,-0.188453704,0.065390110,0.970263600,-0.137105674,122.565307617,36.574607849,-2651.911376953,0.239900127,0.009515629,-0.673767626,0.731105387,-0.106918231,96.368598938,125.972717285,-2704.960937500,0.176945508,
