Number of frames: 100
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,Marker_13 x,Marker_13 y,Marker_13 z
1,,,,181.875213623,48.343212128,-2767.841308594,201.458908081,92.583816528,-2780.284912109,157.460250854,114.471313477,-2770.872070313,67.496208191,-80.138580322,-2692.808105469,62.311637878,-95.470497131,-2681.020751953,48.159568787,-84.878898621,-2690.405273438,132.480743408,29.671039581,-2652.446777344,114.299537659,33.258163452,-2645.525146484,124.370544434,47.927856445,-2653.841064453,103.423278809,136.113861084,-2704.715332031,101.698860168,116.439323425,-2702.069824219,85.638916016,127.294448853,-2706.302490234,
2,,,,181.861328125,48.318233490,-2767.802001953,201.449737549,92.552360535,-2780.284667969,157.455429077,114.449409485,-2770.861328125,67.493347168,-80.141197205,-2692.813476563,62.307338715,-95.471138000,-2681.020507813,48.155597687,-84.879951477,-2690.410156250,132.478927612,29.667675018,-2652.450195313,114.298332214,33.256114960,-2645.519287109,124.369071960,47.926261902,-2653.843750000,103.420684814,136.111862183,-2704.721435547,101.695564270,116.438728333,-2702.077880859,85.634712219,127.294281006,-2706.302001953,
3,,,,181.850372314,48.298854828,-2767.781982422,201.444122314,92.524787903,-2780.271728516,157.451660156,114.429214478,-2770.860839844,67.492858887,-80.142234802,-2692.805664063,62.306430817,-95.471794128,-2681.019287109,48.154872894,-84.881576538,-2690.410888672,132.478393555,29.667108536,-2652.453125000,114.297752380,33.254589081,-2645.528320313,124.371154785,47.924152374,-2653.851074219,103.420211792,136.111358643,-2704.725585938,101.694839478,116.436630249,-2702.083496094,85.636070251,127.293411255,-2706.307617188,
4,,,,181.842208862,48.276748657,-2767.765869141,201.443115234,92.502159119,-2780.260742188,157.449890137,114.412178040,-2770.858886719,67.495559692,-80.141975403,-2692.807861328,62.308467865,-95.473068237,-2681.012207031,48.159507751,-84.882217407,-2690.404296875,132.478988647,29.667280197,-2652.455078125,114.299575806,33.255111694,-2645.537109375,124.372138977,47.923500061,-2653.856689453,103.421127319,136.111221313,-2704.725097656,101.695999146,116.435752869,-2702.081787109,85.636482239,127.292602539,-2706.302001953,
5,,,,181.836212158,48.262657166,-2767.746093750,201.443862915,92.484893799,-2780.252685547,157.452590942,114.401390076,-2770.853271484,67.497184753,-80.143020630,-2692.810058594,62.311012268,-95.474136353,-2681.012451172,48.159561157,-84.882308960,-2690.407226563,132.480895996,29.664928436,-2652.450927734,114.301643372,33.255638123,-2645.531250000,124.374855042,47.922935486,-2653.852539063,103.423400879,136.113388062,-2704.727783203,101.700469971,116.437103271,-2702.081298828,85.640113831,127.291740417,-2706.298339844,
6,,,,181.828582764,48.254344940,-2767.725830078,201.438339233,92.474151611,-2780.237060547,157.449920654,114.392745972,-2770.840576172,67.493453979,-80.143997192,-2692.813720703,62.310184479,-95.474876404,-2681.018798828,48.156665802,-84.882781982,-2690.409667969,132.482177734,29.662790298,-2652.443603516,114.302497864,33.253604889,-2645.531005859,124.373313904,47.921596527,-2653.849609375,103.422210693,136.112289429,-2704.723632813,101.696258545,116.437171936,-2702.080566406,85.637779236,127.292366028,-2706.305664063,
7,,,,181.829910278,48.245449066,-2767.709960938,201.437622070,92.465538025,-2780.214843750,157.451049805,114.386146545,-2770.826660156,67.494392395,-80.142807007,-2692.807861328,62.309967041,-95.474510193,-2681.020019531,48.158370972,-84.884025574,-2690.409179688,132.482101440,29.663154602,-2652.442871094,114.302749634,33.252017975,-2645.539306641,124.373596191,47.920749664,-2653.852539063,103.422554016,136.111190796,-2704.726318359,101.695419312,116.436157227,-2702.079345703,85.639015198,127.292175293,-2706.307128906,
8,,,,181.822433472,48.244377136,-2767.689208984,201.433532715,92.463897705,-2780.194091797,157.446304321,114.385086060,-2770.814453125,67.489982605,-80.143180847,-2692.806396484,62.303356171,-95.475585938,-2681.012695313,48.153068542,-84.884857178,-2690.399902344,132.476287842,29.663524628,-2652.442871094,114.297927856,33.251129150,-2645.529052734,124.371994019,47.922004700,-2653.853515625,103.418754578,136.112274170,-2704.723632813,101.691055298,116.436065674,-2702.075927734,85.634307861,127.293457031,-2706.306396484,
9,,,,181.841156006,48.253917694,-2767.661621094,201.446411133,92.473937988,-2780.166992188,157.456436157,114.394058228,-2770.800781250,67.490966797,-80.142272949,-2692.804199219,62.302040100,-95.474830627,-2681.004394531,48.152667999,-84.883506775,-2690.399658203,132.475738525,29.662940979,-2652.437011719,114.296928406,33.251873016,-2645.524902344,124.369041443,47.923206329,-2653.848144531,103.419845581,136.113235474,-2704.722412109,101.691085815,116.436096191,-2702.074218750,85.634742737,127.293884277,-2706.304443359,
10,,,,181.849960327,48.281597137,-2767.664306641,201.452346802,92.505073547,-2780.172119141,157.456451416,114.415794373,-2770.787841797,67.487777710,-80.143013000,-2692.800292969,62.300849915,-95.475349426,-2681.007812500,48.152210236,-84.883239746,-2690.404052734,132.476287842,29.663059235,-2652.445800781,114.297760010,33.254543304,-2645.518310547,124.369712830,47.923187256,-2653.847167969,103.419128418,136.113555908,-2704.728027344,101.692100525,116.436233521,-2702.076171875,85.635063171,127.294883728,-2706.305419922,
