Number of frames: 100
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,Marker_13 x,Marker_13 y,Marker_13 z
11,,,,181.890304565,48.321804047,-2767.646728516,201.474838257,92.544998169,-2780.189697266,157.474227905,114.445465088,-2770.804687500,67.495681763,-80.143318176,-2692.802734375,62.310138702,-95.473876953,-2681.008544922,48.160419464,-84.883018494,-2690.400634766,132.483154297,29.663719177,-2652.456298828,114.302276611,33.254478455,-2645.516845703,124.375373840,47.922798157,-2653.850341797,103.423538208,136.113220215,-2704.727539063,101.698051453,116.439018250,-2702.081054688,85.640480042,127.294708252,-2706.303466797,
12,,,,181.890808105,48.345050812,-2767.650878906,201.464706421,92.568801880,-2780.192626953,157.463119507,114.463790894,-2770.804199219,67.489044189,-80.140541077,-2692.802001953,62.304248810,-95.472877502,-2681.002929688,48.155593872,-84.881248474,-2690.393554688,132.481735229,29.665254593,-2652.456054688,114.298751831,33.254280090,-2645.519042969,124.373542786,47.925029755,-2653.847167969,103.422821045,136.114730835,-2704.724121094,101.697715759,116.440429688,-2702.078613281,85.638565063,127.295547485,-2706.300781250,
13,,,,181.899765015,48.339870453,-2767.659667969,201.472167969,92.564704895,-2780.190917969,157.470428467,114.462844849,-2770.812988281,67.494735718,-80.138633728,-2692.800292969,62.307697296,-95.472518921,-2681.008544922,48.157325745,-84.880065918,-2690.403076172,132.480667114,29.665805817,-2652.454101563,114.299560547,33.256164551,-2645.525634766,124.371368408,47.925346375,-2653.848388672,103.419555664,136.115798950,-2704.732666016,101.692771912,116.441055298,-2702.076660156,85.635429382,127.298004150,-2706.305908203,
14,,,,181.865997314,48.314510345,-2767.648193359,201.455154419,92.539482117,-2780.177490234,157.458236694,114.442550659,-2770.804931641,67.483024597,-80.140098572,-2692.806152344,62.299133301,-95.472152710,-2681.005371094,48.149089813,-84.879638672,-2690.413330078,132.472915649,29.666019440,-2652.450927734,114.296295166,33.255607605,-2645.524658203,124.367401123,47.924915314,-2653.849365234,103.417434692,136.115844727,-2704.726318359,101.688766479,116.441665649,-2702.083007813,85.632972717,127.297897339,-2706.309326172,
15,,,,181.865585327,48.283939362,-2767.607666016,201.465362549,92.506027222,-2780.138916016,157.468475342,114.419647217,-2770.775634766,67.492309570,-80.141426086,-2692.809326172,62.306507111,-95.473953247,-2681.003417969,48.153934479,-84.880325317,-2690.407470703,132.476867676,29.665328979,-2652.446777344,114.297851563,33.254997253,-2645.527343750,124.369316101,47.924190521,-2653.841796875,103.417465210,136.115020752,-2704.720703125,101.690200806,116.439308167,-2702.092285156,85.633445740,127.295570374,-2706.307128906,
16,,,,181.841888428,48.256961823,-2767.585449219,201.453903198,92.478279114,-2780.095947266,157.461135864,114.397102356,-2770.744384766,67.485130310,-80.142997742,-2692.806152344,62.300548553,-95.474884033,-2681.005371094,48.152709961,-84.881004333,-2690.410156250,132.478469849,29.662902832,-2652.449707031,114.299186707,33.254436493,-2645.530273438,124.372848511,47.921974182,-2653.842773438,103.422004700,136.114395142,-2704.728515625,101.696212769,116.437950134,-2702.087158203,85.640266418,127.295234680,-2706.310791016,
17,,,,181.848480225,48.244461060,-2767.555175781,201.471023560,92.459915161,-2780.060302734,157.474868774,114.383178711,-2770.713867188,67.493949890,-80.144874573,-2692.809814453,62.309310913,-95.474922180,-2681.010742188,48.159275055,-84.881752014,-2690.410644531,132.481704712,29.660593033,-2652.449707031,114.300285339,33.252105713,-2645.525634766,124.373741150,47.920249939,-2653.849365234,103.420593262,136.113037109,-2704.729003906,101.693939209,116.437362671,-2702.079101563,85.634864807,127.293769836,-2706.317871094,
18,,,,181.844985962,48.248573303,-2767.541015625,201.463714600,92.465278625,-2780.044433594,157.466339111,114.388481140,-2770.697265625,67.487037659,-80.143966675,-2692.803955078,62.301513672,-95.475608826,-2681.011230469,48.154956818,-84.882667542,-2690.412597656,132.478134155,29.659458160,-2652.452636719,114.299209595,33.250129700,-2645.524169922,124.375129700,47.920200348,-2653.852294922,103.421333313,136.111831665,-2704.729248047,101.697952271,116.437705994,-2702.081298828,85.639137268,127.293304443,-2706.314208984,
19,,,,181.862350464,48.263828278,-2767.524169922,201.471969604,92.482368469,-2780.039550781,157.473419189,114.400741577,-2770.710937500,67.488929749,-80.144279480,-2692.803222656,62.299438477,-95.476913452,-2681.014404297,48.152999878,-84.883041382,-2690.412841797,132.476562500,29.659091949,-2652.448486328,114.296821594,33.250419617,-2645.523681641,124.368515015,47.920215607,-2653.853515625,103.415542603,136.111999512,-2704.728515625,101.692024231,116.437789917,-2702.088378906,85.631141663,127.293190002,-2706.306152344,
20,,,,181.868484497,48.280075073,-2767.533203125,201.470764160,92.499168396,-2780.052734375,157.470977783,114.411659241,-2770.720947266,67.485839844,-80.145156860,-2692.803222656,62.300079346,-95.477577209,-2681.012451172,48.151611328,-84.882156372,-2690.409179688,132.476104736,29.660421371,-2652.449951172,114.300079346,33.250839233,-2645.525390625,124.371467590,47.920352936,-2653.852783203,103.423622131,136.113067627,-2704.729736328,101.696556091,116.436943054,-2702.087402344,85.639068604,127.294410706,-2706.315185547,
21,,,,181.881149292,48.295932770,-2767.562500000,201.481155396,92.516670227,-2780.085937500,157.473922729,114.423553467,-2770.744140625,67.487495422,-80.145431519,-2692.808349609,62.303569794,-95.477432251,-2681.009277344,48.153804779,-84.881866455,-2690.411132813,132.476074219,29.659891129,-2652.451416016,114.297271729,33.248279572,-2645.518554688,124.371963501,47.919975281,-2653.853759766,103.421653748,136.113388062,-2704.736328125,101.690414429,116.438392639,-2702.079589844,85.633804321,127.294013977,-2706.310791016,
22,,,,181.881134033,48.308479309,-2767.589111328,201.474945068,92.533256531,-2780.115722656,157.470291138,114.437042236,-2770.761474609,67.485595703,-80.144821167,-2692.811035156,62.300964355,-95.476264954,-2681.010742188,48.151912689,-84.881874084,-2690.412353516,132.477249146,29.660398483,-2652.452392578,114.296707153,33.247596741,-2645.527587891,124.373085022,47.921222687,-2653.854003906,103.423194885,136.112716675,-2704.732666016,101.695388794,116.438545227,-2702.074462891,85.638435364,127.294471741,-2706.315429688,
23,,,,181.881057739,48.316947937,-2767.606933594,201.470275879,92.544998169,-2780.135253906,157.466445923,114.443473816,-2770.765869141,67.486129761,-80.142539978,-2692.806884766,62.300437927,-95.475242615,-2681.015380859,48.149833679,-84.882652283,-2690.421630859,132.475036621,29.661405563,-2652.458496094,114.293510437,33.249496460,-2645.525146484,124.367881775,47.923484802,-2653.858642578,103.414787292,136.113037109,-2704.728271484,101.689979553,116.438514709,-2702.084960938,85.630935669,127.295005798,-2706.314941406,
24,,,,181.890502930,48.325466156,-2767.627441406,201.478118896,92.557304382,-2780.153808594,157.470535278,114.452728271,-2770.782226563,67.488075256,-80.141563416,-2692.804199219,62.300914764,-95.473175049,-2681.014892578,48.152305603,-84.880645752,-2690.415039063,132.477584839,29.662328720,-2652.456542969,114.294540405,33.250720978,-2645.517578125,124.370445251,47.923271179,-2653.860595703,103.420951843,136.114395142,-2704.731933594,101.695472717,116.439765930,-2702.087158203,85.637886047,127.295150757,-2706.305664063,
25,,,,181.896057129,48.348583221,-2767.651367188,201.480117798,92.581230164,-2780.151855469,157.473480225,114.473426819,-2770.787597656,67.486831665,-80.141380310,-2692.795898438,62.299907684,-95.473152161,-2681.013427734,48.151737213,-84.879219055,-2690.402587891,132.475509644,29.662607193,-2652.447509766,114.296325684,33.251728058,-2645.520996094,124.369964600,47.924011230,-2653.854492188,103.422111511,136.115829468,-2704.729980469,101.693717957,116.439781189,-2702.083740234,85.634719849,127.295997620,-2706.305175781,
26,,,,181.915786743,48.374176025,-2767.655761719,201.490493774,92.611640930,-2780.163330078,157.476287842,114.494850159,-2770.786376953,67.487213135,-80.140525818,-2692.801269531,62.298778534,-95.474357605,-2681.009033203,48.149566650,-84.879508972,-2690.401611328,132.473861694,29.662141800,-2652.450439453,114.298332214,33.250400543,-2645.523925781,124.371803284,47.924240112,-2653.850585938,103.421531677,136.114547729,-2704.726562500,101.695266724,116.439086914,-2702.083007813,85.637268066,127.296081543,-2706.309570313,
27,,,,181.923461914,48.395858765,-2767.671142578,201.492965698,92.636199951,-2780.171630859,157.476486206,114.511848450,-2770.795410156,67.484603882,-80.139099121,-2692.812744141,62.298866272,-95.472953796,-2681.014892578,48.150680542,-84.880676270,-2690.411865234,132.474029541,29.663499832,-2652.454589844,114.294792175,33.250579834,-2645.520019531,124.369346619,47.923564911,-2653.851562500,103.419738770,136.112869263,-2704.728759766,101.691795349,116.439727783,-2702.084960938,85.632553101,127.296020508,-2706.311523438,
28,,,,181.931259155,48.402042389,-2767.685058594,201.500122070,92.647117615,-2780.170898438,157.482101440,114.518280029,-2770.800537109,67.488853455,-80.138931274,-2692.810058594,62.304813385,-95.472930908,-2681.012695313,48.156425476,-84.880165100,-2690.407226563,132.476638794,29.664787292,-2652.451904297,114.296447754,33.252353668,-2645.521728516,124.370628357,47.924194336,-2653.844970703,103.423271179,136.113739014,-2704.725585938,101.695869446,116.439910889,-2702.082031250,85.635848999,127.295623779,-2706.308349609,
29,,,,181.927322388,48.403316498,-2767.705810547,201.499893188,92.649124146,-2780.171875000,157.479858398,114.519409180,-2770.792236328,67.487464905,-80.141067505,-2692.803466797,62.302051544,-95.473213196,-2681.007080078,48.154315948,-84.880653381,-2690.401611328,132.476287842,29.663709641,-2652.443847656,114.298355103,33.251609802,-2645.530029297,124.369087219,47.925010681,-2653.846191406,103.421661377,136.113510132,-2704.720947266,101.697319031,116.440856934,-2702.090332031,85.635726929,127.293853760,-2706.301513672,
30,,,,181.936904907,48.410079956,-2767.704589844,201.504150391,92.656379700,-2780.170898438,157.486572266,114.525100708,-2770.805175781,67.489906311,-80.143310547,-2692.809082031,62.302562714,-95.474479675,-2681.005859375,48.153953552,-84.882583618,-2690.403076172,132.478225708,29.661329269,-2652.448730469,114.298683167,33.250720978,-2645.536621094,124.370002747,47.923973083,-2653.852294922,103.421073914,136.111892700,-2704.718505859,101.696235657,116.438438416,-2702.090576172,85.634269714,127.293190002,-2706.303710938,
31,,,,181.938537598,48.421867371,-2767.707031250,201.501510620,92.667793274,-2780.179687500,157.484878540,114.531921387,-2770.820312500,67.488479614,-80.143356323,-2692.820556641,62.302650452,-95.475189209,-2681.007568359,48.154712677,-84.882392883,-2690.404541016,132.479919434,29.661138535,-2652.461425781,114.298103333,33.250000000,-2645.531982422,124.371910095,47.921447754,-2653.855712891,103.421531677,136.110427856,-2704.724121094,101.695358276,116.436927795,-2702.088134766,85.632637024,127.292358398,-2706.311279297,
32,,,,181.945709229,48.429855347,-2767.714111328,201.503677368,92.674156189,-2780.193115234,157.483474731,114.537048340,-2770.817626953,67.488372803,-80.142005920,-2692.818359375,62.302455902,-95.473915100,-2681.005615234,48.153816223,-84.881393433,-2690.403808594,132.478378296,29.662221909,-2652.455810547,114.296440125,33.251129150,-2645.524658203,124.369979858,47.921665192,-2653.856933594,103.421646118,136.110870361,-2704.727294922,101.694664001,116.438697815,-2702.093261719,85.632888794,127.292144775,-2706.309814453,
33,,,,181.944015503,48.434772491,-2767.727050781,201.502410889,92.679786682,-2780.203613281,157.481018066,114.541603088,-2770.818847656,67.488609314,-80.140678406,-2692.812011719,62.302341461,-95.474418640,-2681.004882813,48.153514862,-84.881790161,-2690.406005859,132.475906372,29.664403915,-2652.450927734,114.296249390,33.252639771,-2645.524902344,124.367904663,47.924312592,-2653.852050781,103.420578003,136.111938477,-2704.719726563,101.694999695,116.439903259,-2702.095458984,85.631149292,127.293945313,-2706.304931641,
34,,,,181.950332642,48.441577911,-2767.728271484,201.504882813,92.688568115,-2780.206542969,157.484573364,114.548019409,-2770.824951172,67.489021301,-80.142257690,-2692.814697266,62.302520752,-95.473152161,-2681.002197266,48.152633667,-84.881996155,-2690.408935547,132.475387573,29.663280487,-2652.450195313,114.296882629,33.251701355,-2645.527343750,124.366737366,47.924789429,-2653.850830078,103.419250488,136.111694336,-2704.713378906,101.693214417,116.439979553,-2702.092529297,85.631340027,127.293045044,-2706.301513672,
35,,,,181.960525513,48.452575684,-2767.710693359,201.505050659,92.700134277,-2780.213378906,157.485916138,114.555175781,-2770.820800781,67.488388062,-80.141792297,-2692.818847656,62.303127289,-95.473190308,-2681.009277344,48.154758453,-84.881500244,-2690.409912109,132.478683472,29.661960602,-2652.452148438,114.298736572,33.250480652,-2645.526611328,124.369323730,47.924064636,-2653.849121094,103.422119141,136.110870361,-2704.716308594,101.694564819,116.437271118,-2702.091796875,85.631813049,127.291542053,-2706.300781250,
36,,,,181.963546753,48.453983307,-2767.708251953,201.508773804,92.700271606,-2780.204345703,157.485671997,114.557685852,-2770.825439453,67.488403320,-80.140426636,-2692.815673828,62.302261353,-95.475311279,-2681.011962891,48.156486511,-84.880142212,-2690.410644531,132.477172852,29.663866043,-2652.453857422,114.298950195,33.251194000,-2645.530517578,124.368911743,47.924968719,-2653.849609375,103.422737122,136.110702515,-2704.711669922,101.696891785,116.437736511,-2702.085693359,85.633338928,127.292144775,-2706.300781250,
37,,,,181.959869385,48.449329376,-2767.708496094,201.507263184,92.694335938,-2780.197753906,157.486221313,114.553428650,-2770.820068359,67.490051270,-80.138565063,-2692.805175781,62.303890228,-95.473129272,-2681.000000000,48.156272888,-84.878166199,-2690.406982422,132.477310181,29.664928436,-2652.448730469,114.299110413,33.253017426,-2645.525146484,124.368217468,47.926105499,-2653.849365234,103.421882629,136.112686157,-2704.703369141,101.697532654,116.438377380,-2702.079101563,85.631713867,127.294403076,-2706.294433594,
38,,,,181.952743530,48.441520691,-2767.696533203,201.502960205,92.688598633,-2780.197509766,157.481826782,114.547500610,-2770.802490234,67.487983704,-80.137817383,-2692.810791016,62.300952911,-95.471412659,-2681.010253906,48.151153564,-84.878143311,-2690.402832031,132.474258423,29.665740967,-2652.450683594,114.296730042,33.254493713,-2645.520263672,124.369178772,47.927478790,-2653.848144531,103.419876099,136.114028931,-2704.703857422,101.695983887,116.440185547,-2702.083740234,85.631843567,127.297698975,-2706.296875000,
39,,,,181.949340820,48.445316315,-2767.691650391,201.504196167,92.688896179,-2780.192138672,157.480834961,114.549324036,-2770.800292969,67.487075806,-80.139648438,-2692.819580078,62.300544739,-95.470748901,-2681.015869141,48.150905609,-84.879104614,-2690.410644531,132.472015381,29.665817261,-2652.453125000,114.295623779,33.254970551,-2645.529296875,124.366485596,47.926521301,-2653.850341797,103.416976929,136.113967896,-2704.709228516,101.692794800,116.440132141,-2702.080078125,85.626777649,127.295318604,-2706.295898438,
40,,,,181.959167480,48.452671051,-2767.694824219,201.510009766,92.698646545,-2780.194091797,157.488998413,114.554443359,-2770.812744141,67.488967896,-80.140510559,-2692.812500000,62.301723480,-95.471572876,-2681.009765625,48.154209137,-84.878929138,-2690.414794922,132.475936890,29.665590286,-2652.450195313,114.296066284,33.253524780,-2645.532958984,124.367576599,47.926136017,-2653.851074219,103.419952393,136.113174438,-2704.708496094,101.695907593,116.439025879,-2702.073730469,85.629295349,127.294792175,-2706.289550781,
41,,,,181.972290039,48.464614868,-2767.709228516,201.513763428,92.713249207,-2780.194824219,157.491195679,114.565658569,-2770.806396484,67.489051819,-80.140808105,-2692.806152344,62.302246094,-95.472793579,-2681.015380859,48.155361176,-84.879066467,-2690.413330078,132.478027344,29.664590836,-2652.449707031,114.298278809,33.252681732,-2645.528320313,124.370414734,47.927074432,-2653.850585938,103.422348022,136.112167358,-2704.700195313,101.697387695,116.439102173,-2702.084472656,85.630126953,127.294921875,-2706.292724609,
42,,,,181.977523804,48.478927612,-2767.707763672,201.516128540,92.728492737,-2780.199462891,157.490936279,114.576721191,-2770.812011719,67.489448547,-80.140472412,-2692.808593750,62.301219940,-95.471824646,-2681.011230469,48.155094147,-84.879821777,-2690.417724609,132.475921631,29.663311005,-2652.453125000,114.298194885,33.252407074,-2645.524169922,124.368728638,47.925720215,-2653.849853516,103.421379089,136.111724854,-2704.697998047,101.695213318,116.438308716,-2702.072509766,85.631355286,127.294250488,-2706.295654297,
43,,,,181.976074219,48.482528687,-2767.712646484,201.513153076,92.729232788,-2780.218261719,157.485290527,114.577018738,-2770.818603516,67.486915588,-80.141716003,-2692.797119141,62.301208496,-95.473663330,-2681.008544922,48.152809143,-84.881011963,-2690.413085938,132.474319458,29.662538528,-2652.457519531,114.294952393,33.252044678,-2645.520507813,124.366828918,47.924541473,-2653.853759766,103.417816162,136.111114502,-2704.693847656,101.692008972,116.436470032,-2702.067138672,85.627662659,127.292816162,-2706.294433594,
44,,,,181.974090576,48.470600128,-2767.711425781,201.514572144,92.714515686,-2780.215087891,157.488616943,114.564888000,-2770.822509766,67.488220215,-80.142669678,-2692.802490234,62.301109314,-95.475257874,-2681.014892578,48.154010773,-84.881927490,-2690.406494141,132.475662231,29.662210464,-2652.454833984,114.294418335,33.251365662,-2645.526123047,124.368309021,47.923061371,-2653.854248047,103.421249390,136.110504150,-2704.702392578,101.693923950,116.433998108,-2702.071044922,85.630577087,127.290649414,-2706.290039063,
45,,,,181.953277588,48.441913605,-2767.701416016,201.504623413,92.681434631,-2780.219482422,157.483016968,114.541763306,-2770.817626953,67.487632751,-80.143997192,-2692.810058594,62.299762726,-95.475303650,-2681.015625000,48.156822205,-84.882415771,-2690.407470703,132.477600098,29.662300110,-2652.458496094,114.293197632,33.250011444,-2645.526855469,124.368446350,47.923053741,-2653.847900391,103.421928406,136.110382080,-2704.706054688,101.695220947,116.433265686,-2702.072753906,85.632156372,127.290901184,-2706.294677734,
46,,,,181.935974121,48.404228210,-2767.666748047,201.501113892,92.643272400,-2780.187744141,157.483200073,114.513282776,-2770.801269531,67.489845276,-80.144012451,-2692.812500000,62.300357819,-95.477050781,-2681.015869141,48.155567169,-84.883232117,-2690.414062500,132.477249146,29.661764145,-2652.457275391,114.294853210,33.249214172,-2645.530517578,124.369529724,47.922969818,-2653.840087891,103.422401428,136.110229492,-2704.703125000,101.696899414,116.433410645,-2702.067626953,85.633110046,127.291725159,-2706.293457031,
47,,,,181.911315918,48.371109009,-2767.633056641,201.488388062,92.603324890,-2780.132568359,157.476196289,114.485015869,-2770.770751953,67.484725952,-80.143196106,-2692.811523438,62.299282074,-95.477088928,-2681.020019531,48.150524139,-84.883705139,-2690.411132813,132.475082397,29.661291122,-2652.454589844,114.293731689,33.248893738,-2645.536865234,124.367630005,47.921184540,-2653.849121094,103.418922424,136.111206055,-2704.707519531,101.691329956,116.432441711,-2702.071533203,85.626068115,127.290657043,-2706.289062500,
48,,,,181.904815674,48.343605042,-2767.597167969,201.492874146,92.572387695,-2780.099853516,157.481887817,114.462036133,-2770.737304688,67.488471985,-80.144371033,-2692.806396484,62.300403595,-95.476325989,-2681.024169922,48.152465820,-84.882591248,-2690.410156250,132.474777222,29.662128448,-2652.449462891,114.293739319,33.249458313,-2645.528076172,124.368980408,47.920970917,-2653.851318359,103.420700073,136.111557007,-2704.706298828,101.695343018,116.434089661,-2702.069580078,85.631095886,127.291130066,-2706.298583984,
49,,,,181.883911133,48.314617157,-2767.562744141,201.483261108,92.544090271,-2780.064208984,157.475860596,114.441574097,-2770.714111328,67.484588623,-80.144897461,-2692.803955078,62.295471191,-95.476249695,-2681.017822266,48.150367737,-84.882316589,-2690.407958984,132.471603394,29.660163879,-2652.448974609,114.292465210,33.248092651,-2645.529785156,124.367027283,47.920841217,-2653.840576172,103.421035767,136.109771729,-2704.694335938,101.693496704,116.435874939,-2702.068603516,85.631958008,127.292297363,-2706.296142578,
50,,,,181.889129639,48.295578003,-2767.537597656,201.493621826,92.518768311,-2780.036132813,157.486495972,114.423934937,-2770.698730469,67.492340088,-80.145759583,-2692.800292969,62.303096771,-95.476951599,-2681.010009766,48.155506134,-84.883560181,-2690.399658203,132.477172852,29.657461166,-2652.458740234,114.297645569,33.247024536,-2645.531494141,124.371841431,47.917736053,-2653.842041016,103.424514771,136.109939575,-2704.693603516,101.695983887,116.433219910,-2702.066894531,85.634208679,127.291481018,-2706.297119141,
51,,,,181.866302490,48.283088684,-2767.524658203,201.476882935,92.504554749,-2780.040039063,157.471954346,114.411506653,-2770.683837891,67.482902527,-80.145980835,-2692.801269531,62.297348022,-95.476684570,-2681.008300781,48.149982452,-84.883491516,-2690.400146484,132.473663330,29.657258987,-2652.463134766,114.294189453,33.248107910,-2645.535400391,124.372009277,47.917335510,-2653.844726563,103.421630859,136.111099243,-2704.700927734,101.695037842,116.435035706,-2702.069091797,85.632568359,127.291709900,-2706.291992188,
52,,,,181.867996216,48.276531219,-2767.547607422,201.477737427,92.495422363,-2780.050781250,157.474136353,114.406166077,-2770.698242188,67.487464905,-80.145614624,-2692.799560547,62.300304413,-95.477111816,-2681.007324219,48.150051117,-84.883193970,-2690.398437500,132.473205566,29.659217834,-2652.455810547,114.291786194,33.248516083,-2645.534423828,124.369270325,47.919593811,-2653.845947266,103.417976379,136.111511230,-2704.703125000,101.689300537,116.435699463,-2702.064453125,85.625923157,127.293746948,-2706.289062500,
53,,,,181.852722168,48.281166077,-2767.578369141,201.463226318,92.499191284,-2780.092041016,157.462677002,114.411361694,-2770.719238281,67.479881287,-80.145011902,-2692.798095703,62.294059753,-95.476631165,-2681.005371094,48.145458221,-84.882125854,-2690.387939453,132.469589233,29.660100937,-2652.445312500,114.289413452,33.249240875,-2645.516113281,124.367622375,47.920295715,-2653.837646484,103.419189453,136.111862183,-2704.700195313,101.691253662,116.436134338,-2702.056396484,85.628875732,127.294075012,-2706.290527344,
