Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378934,1781281915.568654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378934,1781281915.568654270,1,OK,0.9071158,0.3951347,0.1372398,-0.0466347,98.199,222.022,-1683.570,0.4574599,3,OK,98.251,221.821,-1683.812,OK,47.956,160.202,-1736.563,OK,12.162,219.652,-1658.155,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378934,1781281915.568654270,1,OK,0.9209459,0.0771560,0.1593645,-0.3471435,25.594,-466.610,-1641.002,0.7454503,3,OK,26.030,-467.492,-1641.351,OK,37.536,-370.285,-1618.083,OK,-40.706,-408.796,-1608.437,Passive Strays,843378934,1781281915.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.782,496.653,-2020.962,Saturated,385.387,552.522,-2051.819,Saturated,375.135,480.658,-2072.586,OK,142.275,6.586,-1673.019,OK,135.444,-64.938,-1673.678,OK,131.071,-137.752,-1665.755,OK,127.454,-206.700,-1676.629
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378937,1781281915.618654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378937,1781281915.618654270,1,OK,0.9070832,0.3950840,0.1376062,-0.0466184,98.198,222.029,-1683.593,0.4672965,3,OK,98.251,221.817,-1683.849,OK,47.950,160.201,-1736.544,OK,12.166,219.632,-1658.115,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378937,1781281915.618654270,1,OK,0.9208809,0.0774338,0.1596975,-0.3471011,25.589,-466.621,-1641.063,0.7656786,3,OK,26.038,-467.526,-1641.423,OK,37.538,-370.304,-1618.073,OK,-40.705,-408.817,-1608.419,Passive Strays,843378937,1781281915.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.795,496.625,-2020.956,Saturated,385.385,552.510,-2051.807,Saturated,375.125,480.633,-2072.512,OK,142.282,6.576,-1672.928,OK,135.443,-64.940,-1673.573,OK,131.084,-137.762,-1665.752,OK,127.460,-206.692,-1676.558
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378940,1781281915.668654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378940,1781281915.668654270,1,OK,0.9070578,0.3951617,0.1375680,-0.0465658,98.196,222.032,-1683.597,0.4578322,3,OK,98.243,221.825,-1683.845,OK,47.954,160.202,-1736.573,OK,12.170,219.631,-1658.128,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378940,1781281915.668654270,1,OK,0.9207867,0.0775774,0.1601098,-0.3471288,25.575,-466.606,-1641.104,0.7878324,3,OK,26.041,-467.534,-1641.475,OK,37.544,-370.299,-1618.066,OK,-40.701,-408.794,-1608.374,Passive Strays,843378940,1781281915.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.794,496.643,-2020.993,Saturated,385.386,552.523,-2051.793,Saturated,375.128,480.636,-2072.495,OK,142.272,6.575,-1672.922,OK,135.451,-64.941,-1673.585,OK,131.087,-137.754,-1665.761,OK,127.466,-206.706,-1676.601
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378943,1781281915.718654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378943,1781281915.718654270,1,OK,0.9070032,0.3951337,0.1379955,-0.0466025,98.202,222.049,-1683.632,0.4592109,3,OK,98.263,221.828,-1683.900,OK,47.954,160.207,-1736.574,OK,12.165,219.637,-1658.066,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378943,1781281915.718654270,1,OK,0.9208711,0.0776739,0.1596350,-0.3471021,25.600,-466.596,-1641.067,0.7792969,3,OK,26.048,-467.524,-1641.433,OK,37.549,-370.272,-1618.029,OK,-40.694,-408.795,-1608.418,Passive Strays,843378943,1781281915.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Possible Phantom,390.818,496.655,-2021.033,Possible Phantom,188.853,105.682,-972.677,Saturated,385.381,552.509,-2051.781,Saturated,375.145,480.652,-2072.535,OK,142.258,6.576,-1672.933,OK,135.438,-64.935,-1673.575,OK,131.082,-137.747,-1665.776,OK,127.460,-206.686,-1676.567
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378946,1781281915.768654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378946,1781281915.768654270,1,OK,0.9071086,0.3949719,0.1377777,-0.0465675,98.190,222.034,-1683.644,0.4732358,3,OK,98.246,221.814,-1683.908,OK,47.950,160.188,-1736.565,OK,12.156,219.621,-1658.137,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378946,1781281915.768654270,1,OK,0.9209449,0.0773309,0.1594122,-0.3470852,25.615,-466.595,-1640.966,0.7752292,3,OK,26.064,-467.516,-1641.330,OK,37.541,-370.259,-1618.004,OK,-40.692,-408.777,-1608.377,Passive Strays,843378946,1781281915.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Possible Phantom,390.800,496.642,-2021.012,Possible Phantom,188.990,105.855,-973.134,Saturated,385.378,552.502,-2051.776,Saturated,375.127,480.630,-2072.521,OK,142.264,6.570,-1672.990,OK,135.438,-64.943,-1673.643,OK,131.075,-137.756,-1665.742,OK,127.464,-206.711,-1676.626
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378949,1781281915.818654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378949,1781281915.818654270,1,OK,0.9071838,0.3948914,0.1375294,-0.0465188,98.189,222.040,-1683.614,0.4754955,3,OK,98.246,221.830,-1683.868,OK,47.957,160.188,-1736.541,OK,12.157,219.628,-1658.167,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378949,1781281915.818654270,1,OK,0.9209523,0.0770375,0.1594896,-0.3470953,25.619,-466.597,-1640.925,0.7516775,3,OK,26.060,-467.486,-1641.278,OK,37.551,-370.267,-1618.021,OK,-40.681,-408.784,-1608.346,Passive Strays,843378949,1781281915.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.802,496.629,-2021.005,Saturated,385.387,552.523,-2051.816,Saturated,375.130,480.624,-2072.469,OK,142.261,6.572,-1672.973,OK,135.437,-64.944,-1673.606,OK,131.071,-137.753,-1665.728,OK,127.466,-206.696,-1676.564
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378952,1781281915.868654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378952,1781281915.868654270,1,OK,0.9071398,0.3950347,0.1373904,-0.0465716,98.191,222.025,-1683.622,0.4646351,3,OK,98.230,221.814,-1683.871,OK,47.959,160.191,-1736.587,OK,12.165,219.637,-1658.188,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378952,1781281915.868654270,1,OK,0.9209795,0.0769017,0.1592346,-0.3471704,25.624,-466.611,-1640.925,0.7460465,3,OK,26.056,-467.497,-1641.274,OK,37.564,-370.264,-1618.060,OK,-40.677,-408.784,-1608.400,Passive Strays,843378952,1781281915.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Possible Phantom,390.825,496.654,-2021.031,Possible Phantom,189.002,105.860,-973.142,Saturated,385.396,552.516,-2051.822,Saturated,375.137,480.651,-2072.586,OK,142.270,6.558,-1672.962,OK,135.437,-64.947,-1673.574,OK,131.084,-137.757,-1665.785,OK,127.466,-206.696,-1676.551
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378955,1781281915.918654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378955,1781281915.918654270,1,OK,0.9071005,0.3949314,0.1379569,-0.0465383,98.189,222.050,-1683.681,0.4711361,3,OK,98.239,221.825,-1683.949,OK,47.953,160.191,-1736.588,OK,12.162,219.627,-1658.140,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378955,1781281915.918654270,1,OK,0.9209028,0.0773373,0.1594696,-0.3471693,25.602,-466.610,-1641.013,0.7663490,3,OK,26.044,-467.521,-1641.373,OK,37.552,-370.278,-1618.051,OK,-40.689,-408.790,-1608.417,Passive Strays,843378955,1781281915.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Possible Phantom,390.824,496.659,-2021.135,Possible Phantom,188.999,105.844,-973.141,OK,385.378,552.507,-2051.802,Saturated,375.134,480.634,-2072.559,OK,142.261,6.572,-1672.902,OK,135.430,-64.937,-1673.578,OK,131.074,-137.760,-1665.769,OK,127.448,-206.692,-1676.505
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378958,1781281915.968654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378958,1781281915.968654270,1,OK,0.9070269,0.3950833,0.1379945,-0.0465711,98.188,222.040,-1683.651,0.4657779,3,OK,98.247,221.816,-1683.921,OK,47.946,160.195,-1736.581,OK,12.151,219.620,-1658.092,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378958,1781281915.968654270,1,OK,0.9209462,0.0772318,0.1592720,-0.3471681,25.604,-466.598,-1640.945,0.7439949,3,OK,26.034,-467.482,-1641.294,OK,37.546,-370.270,-1618.016,OK,-40.688,-408.783,-1608.395,Passive Strays,843378958,1781281915.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,7,OK,390.797,496.659,-2021.088,OK,385.367,552.500,-2051.785,Saturated,375.109,480.631,-2072.504,OK,142.272,6.563,-1672.974,OK,135.428,-64.942,-1673.536,OK,131.079,-137.752,-1665.727,OK,127.456,-206.695,-1676.591
4,Port 0x01: JJH Probe  s/n:3E4C880C,843378961,1781281916.018654270,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843378961,1781281916.018654270,1,OK,0.9070725,0.3951865,0.1373880,-0.0466013,98.188,222.011,-1683.544,0.4543626,3,OK,98.233,221.810,-1683.786,OK,47.943,160.189,-1736.538,OK,12.162,219.626,-1658.107,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843378961,1781281916.018654270,1,OK,0.9208621,0.0775590,0.1596044,-0.3471656,25.579,-466.612,-1641.072,0.7635292,3,OK,26.022,-467.518,-1641.430,OK,37.539,-370.298,-1618.063,OK,-40.707,-408.804,-1608.438,Passive Strays,843378961,1781281916.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,8,Possible Phantom,390.815,496.643,-2021.097,Possible Phantom,189.002,105.851,-973.159,Saturated,385.375,552.500,-2051.770,Saturated,375.133,480.636,-2072.548,OK,142.266,6.557,-1672.911,OK,135.433,-64.957,-1673.553,OK,131.076,-137.765,-1665.759,OK,127.466,-206.699,-1676.569
