Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426526,1781282708.768636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426526,1781282708.768636604,1,OK,0.8918917,0.4365714,0.1118705,-0.0376778,99.524,223.502,-1677.564,0.3946522,3,OK,99.558,223.299,-1677.843,OK,51.383,167.418,-1738.403,OK,12.179,220.637,-1656.848,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426526,1781282708.768636604,1,OK,0.9200161,0.0851320,0.1609432,-0.3470162,25.462,-466.268,-1641.917,0.7830974,3,OK,25.904,-467.200,-1642.297,OK,37.600,-370.318,-1617.422,OK,-40.757,-408.782,-1608.583,Passive Strays,843426526,1781282708.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.190,521.612,-2091.909,OK,362.223,571.334,-2129.157,Saturated,355.629,496.648,-2138.080
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426529,1781282708.818636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426529,1781282708.818636604,1,OK,0.8918569,0.4366438,0.1118940,-0.0375916,99.514,223.475,-1677.502,0.3768032,3,OK,99.530,223.273,-1677.774,OK,51.390,167.379,-1738.375,OK,12.181,220.605,-1656.775,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426529,1781282708.818636604,1,OK,0.9202425,0.0832171,0.1607811,-0.3469555,25.649,-466.205,-1641.268,0.7715754,3,OK,26.103,-467.111,-1641.641,OK,37.729,-370.187,-1617.145,OK,-40.602,-408.651,-1608.077,Passive Strays,843426529,1781282708.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.175,521.596,-2091.796,OK,362.230,571.333,-2129.151,Saturated,355.639,496.667,-2138.141
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426532,1781282708.868636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426532,1781282708.868636604,1,OK,0.8921896,0.4359125,0.1120858,-0.0376151,99.516,223.501,-1677.490,0.4244607,3,OK,99.547,223.286,-1677.784,OK,51.381,167.336,-1738.200,OK,12.182,220.609,-1656.763,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426532,1781282708.868636604,1,OK,0.9202569,0.0836269,0.1606593,-0.3468750,25.754,-466.176,-1640.957,0.7933559,3,OK,26.205,-467.121,-1641.339,OK,37.812,-370.143,-1616.750,OK,-40.501,-408.639,-1607.762,Passive Strays,843426532,1781282708.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.185,521.615,-2091.806,OK,362.220,571.331,-2129.098,Saturated,355.636,496.661,-2138.116
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426535,1781282708.918636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426535,1781282708.918636604,1,OK,0.8920350,0.4362894,0.1118266,-0.0376819,99.516,223.476,-1677.391,0.3782274,3,OK,99.539,223.288,-1677.647,OK,51.364,167.341,-1738.209,OK,12.197,220.618,-1656.693,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426535,1781282708.918636604,1,OK,0.9202374,0.0832637,0.1606363,-0.3470249,25.780,-466.199,-1640.760,0.7666420,3,OK,26.227,-467.103,-1641.130,OK,37.874,-370.176,-1616.636,OK,-40.467,-408.641,-1607.593,Passive Strays,843426535,1781282708.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.167,521.607,-2091.784,OK,362.230,571.359,-2129.187,Saturated,355.625,496.667,-2138.108
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426538,1781282708.968636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426538,1781282708.968636604,1,OK,0.8920290,0.4363646,0.1115539,-0.0377609,99.525,223.435,-1677.359,0.3738962,3,OK,99.554,223.258,-1677.601,OK,51.361,167.322,-1738.203,OK,12.206,220.601,-1656.711,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426538,1781282708.968636604,1,OK,0.9202923,0.0831879,0.1605131,-0.3469546,25.804,-466.232,-1640.795,0.7483538,3,OK,26.241,-467.114,-1641.156,OK,37.879,-370.213,-1616.693,OK,-40.454,-408.690,-1607.659,Passive Strays,843426538,1781282708.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.197,521.619,-2091.852,OK,362.224,571.326,-2129.094,Saturated,355.635,496.652,-2138.068
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426541,1781282709.018636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426541,1781282709.018636604,1,OK,0.8920267,0.4362787,0.1119175,-0.0377336,99.518,223.458,-1677.384,0.3875183,3,OK,99.530,223.258,-1677.653,OK,51.367,167.331,-1738.185,OK,12.203,220.605,-1656.663,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426541,1781282709.018636604,1,OK,0.9203002,0.0833602,0.1604475,-0.3469225,25.805,-466.174,-1640.828,0.7859190,3,OK,26.249,-467.110,-1641.207,OK,37.865,-370.124,-1616.684,OK,-40.459,-408.623,-1607.688,Passive Strays,843426541,1781282709.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.179,521.603,-2091.811,OK,362.227,571.334,-2129.129,Saturated,355.635,496.653,-2138.094
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426544,1781282709.068636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426544,1781282709.068636604,1,OK,0.8921230,0.4359775,0.1123779,-0.0375677,99.507,223.525,-1677.511,0.4186681,3,OK,99.528,223.303,-1677.810,OK,51.374,167.351,-1738.220,OK,12.181,220.612,-1656.725,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426544,1781282709.068636604,1,OK,0.9204096,0.0823922,0.1605012,-0.3468387,25.878,-466.086,-1640.539,0.7916717,3,OK,26.336,-467.023,-1640.919,OK,37.893,-370.003,-1616.571,OK,-40.397,-408.499,-1607.446,Passive Strays,843426544,1781282709.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.164,521.614,-2091.803,OK,362.231,571.344,-2129.159,Saturated,355.627,496.645,-2138.028
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426547,1781282709.118636604,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426547,1781282709.118636604,1,OK,0.8921004,0.4361374,0.1119477,-0.0375329,99.501,223.482,-1677.461,0.3996852,3,OK,99.519,223.278,-1677.738,OK,51.380,167.328,-1738.239,OK,12.177,220.592,-1656.756,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426547,1781282709.118636604,1,OK,0.9206274,0.0814784,0.1599456,-0.3467331,26.003,-466.012,-1640.161,0.7795559,3,OK,26.449,-466.939,-1640.533,OK,37.959,-369.869,-1616.387,OK,-40.311,-408.406,-1607.224,Passive Strays,843426547,1781282709.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.196,521.625,-2091.847,OK,362.241,571.337,-2129.143,Saturated,355.639,496.663,-2138.135
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426550,1781282709.168636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426550,1781282709.168636600,1,OK,0.8919348,0.4363245,0.1125269,-0.0375633,99.499,223.474,-1677.533,0.3964663,3,OK,99.522,223.257,-1677.828,OK,51.362,167.324,-1738.306,OK,12.167,220.559,-1656.698,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426550,1781282709.168636600,1,OK,0.9206162,0.0810478,0.1601969,-0.3467478,25.974,-466.006,-1640.161,0.7997862,3,OK,26.438,-466.953,-1640.543,OK,37.927,-369.847,-1616.454,OK,-40.332,-408.369,-1607.202,Passive Strays,843426550,1781282709.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.182,521.637,-2091.879,OK,362.225,571.336,-2129.126,Saturated,355.625,496.654,-2138.107
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426553,1781282709.218636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426553,1781282709.218636600,1,OK,0.8918798,0.4365964,0.1119006,-0.0375792,99.493,223.460,-1677.489,0.3794329,3,OK,99.518,223.262,-1677.758,OK,51.364,167.359,-1738.351,OK,12.157,220.583,-1656.769,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426553,1781282709.218636600,1,OK,0.9205771,0.0814562,0.1601836,-0.3467621,25.913,-466.029,-1640.373,0.7830463,3,OK,26.366,-466.956,-1640.747,OK,37.888,-369.894,-1616.595,OK,-40.395,-408.421,-1607.394,Passive Strays,843426553,1781282709.218,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.191,521.650,-2091.958,OK,362.224,571.335,-2129.149,Saturated,355.636,496.660,-2138.154
