Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136703,1781261211.718631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136703,1781261211.718631942,1,OK,0.9275710,-0.3499430,0.1132905,-0.0657052,36.915,130.985,-1858.018,0.9607225,3,OK,36.656,130.258,-1857.295,OK,0.209,71.670,-1793.546,OK,-49.783,148.891,-1843.142,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136703,1781261211.718631942,1,OK,0.9045062,0.0761643,0.2207606,-0.3568366,1.188,-453.677,-1646.622,0.8217973,3,OK,1.581,-454.653,-1647.097,OK,17.854,-358.553,-1621.543,OK,-59.432,-396.081,-1604.055,Passive Strays,842136703,1781261211.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.596,722.913,-2258.034,OK,90.755,35.836,-1729.844,OK,85.868,-34.608,-1723.698,OK,77.751,-115.024,-1721.629,OK,67.013,-185.019,-1720.668
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136706,1781261211.768631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136706,1781261211.768631942,1,OK,0.9275581,-0.3499327,0.1133685,-0.0658082,36.906,130.975,-1858.013,0.9649041,3,OK,36.636,130.246,-1857.285,OK,0.196,71.669,-1793.541,OK,-49.779,148.904,-1843.135,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136706,1781261211.768631942,1,OK,0.9045661,0.0758086,0.2205393,-0.3568973,1.198,-453.679,-1646.543,0.7939082,3,OK,1.582,-454.620,-1647.002,OK,17.863,-358.552,-1621.551,OK,-59.432,-396.070,-1604.041,Passive Strays,842136706,1781261211.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.607,722.939,-2258.128,OK,90.762,35.840,-1729.838,OK,85.871,-34.601,-1723.697,OK,77.765,-115.026,-1721.641,OK,67.017,-185.017,-1720.717
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136709,1781261211.818631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136709,1781261211.818631942,1,OK,0.9276151,-0.3498502,0.1132069,-0.0657218,36.930,130.989,-1857.944,0.9755761,3,OK,36.655,130.250,-1857.205,OK,0.227,71.668,-1793.501,OK,-49.766,148.896,-1843.087,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136709,1781261211.818631942,1,OK,0.9045172,0.0761763,0.2206913,-0.3568488,1.199,-453.671,-1646.605,0.8206465,3,OK,1.590,-454.647,-1647.079,OK,17.866,-358.546,-1621.527,OK,-59.426,-396.075,-1604.049,Passive Strays,842136709,1781261211.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.602,722.904,-2258.058,OK,90.765,35.829,-1729.867,OK,85.868,-34.603,-1723.681,OK,77.766,-115.029,-1721.668,OK,67.020,-185.019,-1720.736
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136712,1781261211.868631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136712,1781261211.868631942,1,OK,0.9275107,-0.3500100,0.1135460,-0.0657594,36.918,130.978,-1857.992,0.9356490,3,OK,36.671,130.271,-1857.290,OK,0.217,71.661,-1793.473,OK,-49.768,148.911,-1843.081,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136712,1781261211.868631942,1,OK,0.9045300,0.0759866,0.2206543,-0.3568798,1.207,-453.654,-1646.560,0.8106924,3,OK,1.595,-454.618,-1647.029,OK,17.876,-358.525,-1621.524,OK,-59.415,-396.051,-1604.026,Passive Strays,842136712,1781261211.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.599,722.898,-2257.974,OK,90.776,35.847,-1729.853,OK,85.878,-34.588,-1723.684,OK,77.774,-115.008,-1721.628,OK,67.017,-185.006,-1720.679
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136715,1781261211.918631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136715,1781261211.918631942,1,OK,0.9274647,-0.3503372,0.1128899,-0.0657950,36.950,130.976,-1857.895,0.9423553,3,OK,36.678,130.255,-1857.172,OK,0.230,71.673,-1793.374,OK,-49.769,148.910,-1843.124,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136715,1781261211.918631942,1,OK,0.9045441,0.0761498,0.2206190,-0.3568310,1.209,-453.656,-1646.601,0.8106104,3,OK,1.596,-454.619,-1647.070,OK,17.870,-358.533,-1621.533,OK,-59.421,-396.065,-1604.062,Passive Strays,842136715,1781261211.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.600,722.914,-2258.052,OK,90.771,35.854,-1729.885,OK,85.875,-34.589,-1723.638,OK,77.765,-115.014,-1721.576,OK,67.026,-185.003,-1720.742
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136718,1781261211.968631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136718,1781261211.968631942,1,OK,0.9274079,-0.3503586,0.1133020,-0.0657727,36.929,130.962,-1857.976,0.9299800,3,OK,36.660,130.256,-1857.266,OK,0.231,71.666,-1793.416,OK,-49.764,148.909,-1843.131,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136718,1781261211.968631942,1,OK,0.9045630,0.0758854,0.2205846,-0.3568607,1.213,-453.667,-1646.557,0.7987744,3,OK,1.598,-454.614,-1647.020,OK,17.872,-358.540,-1621.545,OK,-59.416,-396.065,-1604.043,Passive Strays,842136718,1781261211.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.601,722.909,-2258.000,OK,90.774,35.847,-1729.824,OK,85.883,-34.592,-1723.694,OK,77.777,-115.017,-1721.663,OK,67.025,-185.009,-1720.689
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136721,1781261212.018631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136721,1781261212.018631942,1,OK,0.9273744,-0.3504431,0.1133185,-0.0657665,36.931,130.962,-1858.054,0.9240181,3,OK,36.670,130.260,-1857.349,OK,0.236,71.673,-1793.476,OK,-49.765,148.911,-1843.207,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136721,1781261212.018631942,1,OK,0.9045637,0.0756258,0.2206444,-0.3568772,1.204,-453.679,-1646.531,0.7929119,3,OK,1.593,-454.615,-1646.991,OK,17.862,-358.551,-1621.569,OK,-59.421,-396.063,-1604.022,Passive Strays,842136721,1781261212.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.632,722.944,-2258.188,OK,90.768,35.837,-1729.905,OK,85.881,-34.596,-1723.665,OK,77.776,-115.017,-1721.670,OK,67.016,-184.996,-1720.586
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136724,1781261212.068631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136724,1781261212.068631942,1,OK,0.9274750,-0.3500531,0.1137423,-0.0656932,36.910,130.980,-1858.017,0.9271306,3,OK,36.673,130.282,-1857.326,OK,0.223,71.667,-1793.473,OK,-49.768,148.907,-1843.063,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136724,1781261212.068631942,1,OK,0.9044918,0.0760121,0.2208607,-0.3568436,1.202,-453.657,-1646.583,0.8207415,3,OK,1.599,-454.629,-1647.059,OK,17.869,-358.536,-1621.531,OK,-59.411,-396.053,-1604.008,Passive Strays,842136724,1781261212.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.617,722.891,-2257.999,OK,90.778,35.849,-1729.858,OK,85.881,-34.598,-1723.730,OK,77.779,-115.014,-1721.640,OK,67.031,-184.997,-1720.653
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136727,1781261212.118631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136727,1781261212.118631942,1,OK,0.9273298,-0.3505912,0.1132106,-0.0657926,36.927,130.950,-1857.998,0.9112331,3,OK,36.664,130.255,-1857.299,OK,0.224,71.663,-1793.394,OK,-49.775,148.908,-1843.180,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136727,1781261212.118631942,1,OK,0.9045190,0.0762548,0.2206157,-0.3568743,1.204,-453.648,-1646.595,0.8084167,3,OK,1.587,-454.611,-1647.062,OK,17.877,-358.529,-1621.508,OK,-59.414,-396.059,-1604.053,Passive Strays,842136727,1781261212.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.605,722.875,-2257.869,OK,90.779,35.848,-1729.832,OK,85.880,-34.595,-1723.671,OK,77.783,-115.016,-1721.685,OK,67.031,-184.986,-1720.586
4,Port 0x01: JJH Probe  s/n:3E4C880C,842136730,1781261212.168631942,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,842136730,1781261212.168631942,1,OK,0.9275757,-0.3500570,0.1128223,-0.0658378,36.945,130.998,-1857.929,0.9648326,3,OK,36.664,130.265,-1857.193,OK,0.205,71.687,-1793.472,OK,-49.767,148.917,-1843.158,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,842136730,1781261212.168631942,1,OK,0.9045969,0.0759014,0.2204596,-0.3568488,1.217,-453.650,-1646.529,0.7903296,3,OK,1.597,-454.589,-1646.986,OK,17.869,-358.524,-1621.520,OK,-59.418,-396.053,-1604.038,Passive Strays,842136730,1781261212.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,274.624,722.916,-2258.052,OK,90.778,35.854,-1729.817,OK,85.886,-34.588,-1723.685,OK,77.777,-115.011,-1721.663,OK,67.028,-184.982,-1720.635
